date,code,open,high,low,close,change,volume,amount
20180709,000035.SZ,6.05,6.05,6.05,6.05,-0.67,10468.0,6333.14
20180710,000035.SZ,5.45,5.45,5.45,5.45,-0.6,9754.0,5315.93
20180711,000035.SZ,4.91,5.15,4.91,4.91,-0.54,332788.9,164168.721
20180712,000035.SZ,4.8,4.95,4.75,4.75,-0.16,375670.13,182276.658
20180713,000035.SZ,4.7,4.88,4.62,4.79,0.04,182286.65,87321.33
20180716,000035.SZ,4.72,4.79,4.38,4.48,-0.31,231385.68,104754.847
20180717,000035.SZ,4.56,4.9,4.52,4.8,0.32,276107.52,130862.633
20180718,000035.SZ,4.79,4.84,4.65,4.77,-0.03,168308.65,79894.159
20180719,000035.SZ,4.75,4.78,4.58,4.63,-0.14,126870.08,59036.96
20180720,000035.SZ,4.46,4.68,4.46,4.63,0.0,77679.03,35808.687
20180723,000035.SZ,4.6,4.65,4.53,4.58,-0.05,87532.82,40091.547
20180724,000035.SZ,4.58,4.69,4.56,4.65,0.07,111494.66,51706.644
20180725,000035.SZ,4.64,4.66,4.58,4.58,-0.07,80172.02,37011.998
20180726,000035.SZ,4.6,4.73,4.54,4.68,0.1,129047.0,60004.131
20180727,000035.SZ,4.7,4.7,4.55,4.57,-0.11,94132.0,43330.929
20180730,000035.SZ,4.57,4.64,4.51,4.57,0.0,77325.9,35374.966
20180731,000035.SZ,4.54,4.59,4.52,4.58,0.01,48145.0,21945.59
20180801,000035.SZ,4.57,4.61,4.48,4.48,-0.1,58322.0,26459.149
20180802,000035.SZ,4.45,4.48,4.03,4.09,-0.39,153115.66,63639.689
20180803,000035.SZ,4.1,4.2,4.01,4.11,0.02,84007.5,34574.158
20180806,000035.SZ,4.1,4.12,3.96,3.99,-0.12,65526.2,26457.893
20180807,000035.SZ,4.0,4.08,3.95,4.05,0.06,60305.32,24364.919
20180808,000035.SZ,4.04,4.14,4.01,4.04,-0.01,70376.52,28742.083
20180809,000035.SZ,4.02,4.14,4.02,4.13,0.09,81406.02,33260.531
20180810,000035.SZ,4.11,4.13,4.07,4.11,-0.02,48100.02,19692.421
20180813,000035.SZ,4.07,4.11,4.03,4.08,-0.03,54009.2,21931.859
20180814,000035.SZ,4.1,4.23,4.05,4.19,0.11,68274.0,28222.828
20180815,000035.SZ,4.16,4.49,4.16,4.3,0.11,178731.38,77239.63
20180816,000035.SZ,4.25,4.28,4.13,4.21,-0.09,57832.97,24350.632
20180817,000035.SZ,4.24,4.29,4.03,4.07,-0.14,46560.77,19352.509
20180820,000035.SZ,4.09,4.14,3.99,4.07,0.0,34875.6,14161.144
20180821,000035.SZ,4.09,4.11,4.06,4.08,0.01,32934.0,13465.858
20180822,000035.SZ,4.11,4.11,4.05,4.06,-0.02,27220.0,11066.102
20180823,000035.SZ,4.11,4.46,4.11,4.22,0.16,125943.74,53954.176
20180824,000035.SZ,4.2,4.2,4.1,4.13,-0.09,54607.91,22648.733
20180827,000035.SZ,4.14,4.19,4.14,4.19,0.06,43923.6,18316.611
20180828,000035.SZ,4.18,4.28,4.17,4.26,0.07,43781.35,18550.191
20180829,000035.SZ,4.27,4.3,4.22,4.26,0.0,34899.53,14876.083
20180830,000035.SZ,4.22,4.25,4.16,4.16,-0.1,41870.71,17553.639
20180831,000035.SZ,4.16,4.21,4.11,4.13,-0.03,28893.0,11980.183
20180903,000035.SZ,4.14,4.14,4.07,4.13,0.0,30567.98,12553.006
20180904,000035.SZ,4.1,4.27,4.1,4.23,0.1,54909.0,23119.566
20180905,000035.SZ,4.21,4.35,4.17,4.19,-0.04,53372.94,22684.771
20180906,000035.SZ,4.16,4.22,4.08,4.11,-0.08,42520.45,17613.018
20180907,000035.SZ,4.17,4.27,4.16,4.24,0.13,63877.52,26886.476
20180910,000035.SZ,4.3,4.62,4.26,4.36,0.12,124971.84,55228.458
20180911,000035.SZ,4.33,4.8,4.28,4.64,0.28,240371.66,110530.72
20180912,000035.SZ,4.5,4.89,4.46,4.67,0.03,222620.86,105036.789
20180925,000035.SZ,5.14,5.14,4.68,4.75,0.08,273703.11,133361.374
20180926,000035.SZ,4.78,4.79,4.62,4.63,-0.12,148923.36,69625.911
20180927,000035.SZ,4.69,4.87,4.66,4.7,0.07,133387.0,63655.963
20180928,000035.SZ,4.64,4.7,4.53,4.59,-0.11,79050.51,36323.497
20181008,000035.SZ,4.5,4.69,4.38,4.51,-0.08,83903.89,38116.487
20181009,000035.SZ,4.51,4.58,4.43,4.47,-0.04,52020.0,23336.71
20181010,000035.SZ,4.5,4.65,4.45,4.61,0.14,78175.18,35836.897
20181011,000035.SZ,4.41,4.54,4.2,4.27,-0.34,100308.0,43766.367
20181012,000035.SZ,4.26,4.38,4.12,4.34,0.07,84046.5,35784.676
20181015,000035.SZ,4.33,4.42,4.26,4.36,0.02,42516.0,18511.973
20181016,000035.SZ,4.34,4.44,4.3,4.33,-0.03,54278.0,23779.694
20181017,000035.SZ,4.38,4.42,4.24,4.38,0.05,51067.62,22181.59
20181018,000035.SZ,4.37,4.37,4.06,4.09,-0.29,61486.0,25707.599
20181019,000035.SZ,4.01,4.19,3.96,4.15,0.06,54652.2,22283.43
20181022,000035.SZ,4.23,4.42,4.18,4.38,0.23,95863.97,41624.172
20181023,000035.SZ,4.42,4.6,4.38,4.42,0.04,96864.31,43361.929
20181024,000035.SZ,4.46,4.52,4.42,4.48,0.06,58128.02,25958.749
20181025,000035.SZ,4.39,4.5,4.22,4.47,-0.01,64623.2,28477.832
20181026,000035.SZ,4.52,4.77,4.51,4.61,0.14,81441.39,37536.34
20181029,000035.SZ,4.66,4.67,4.42,4.51,-0.1,54568.3,24640.419
20181030,000035.SZ,4.53,4.57,4.4,4.48,-0.03,54874.16,24640.615
20181031,000035.SZ,4.53,4.55,4.48,4.51,0.03,58343.0,26340.615
20181101,000035.SZ,4.53,4.59,4.46,4.51,0.0,53190.98,24084.422
20181102,000035.SZ,4.65,4.72,4.57,4.64,0.13,75571.06,34875.664
20181105,000035.SZ,4.68,4.69,4.57,4.65,0.01,62447.84,28929.456
20181106,000035.SZ,4.68,4.72,4.61,4.7,0.05,72392.4,33864.118
20181107,000035.SZ,4.69,4.74,4.65,4.65,-0.05,44538.86,20863.443
20181108,000035.SZ,4.68,4.7,4.51,4.52,-0.13,52116.53,23935.502
20181109,000035.SZ,4.52,4.57,4.51,4.52,0.0,30259.58,13730.007
20181112,000035.SZ,4.48,4.64,4.47,4.61,0.09,49026.0,22393.704
20181113,000035.SZ,4.54,4.71,4.52,4.69,0.08,89231.35,41499.113
20181114,000035.SZ,4.72,4.8,4.67,4.71,0.02,71631.23,33800.202
20181115,000035.SZ,4.7,4.74,4.67,4.73,0.02,56042.71,26411.602
20181116,000035.SZ,4.74,4.78,4.71,4.76,0.03,66558.91,31620.932
20181119,000035.SZ,4.76,4.85,4.73,4.84,0.08,72389.22,34654.799
20181120,000035.SZ,4.78,4.82,4.62,4.63,-0.21,77883.0,36641.735
20181121,000035.SZ,4.52,4.61,4.52,4.56,-0.07,56493.0,25777.524
20181122,000035.SZ,4.58,4.62,4.52,4.62,0.06,53352.8,24399.916
20181123,000035.SZ,4.6,4.61,4.31,4.36,-0.26,85246.1,37687.882
20181126,000035.SZ,4.36,4.4,4.31,4.36,0.0,34145.0,14906.496
20181127,000035.SZ,4.39,4.41,4.34,4.39,0.03,33005.2,14459.089
20181128,000035.SZ,4.38,4.65,4.27,4.58,0.19,75697.6,33851.066
20181129,000035.SZ,4.6,4.6,4.41,4.41,-0.17,45559.2,20466.36
20181130,000035.SZ,4.42,4.49,4.36,4.46,0.05,34362.8,15184.681
20181203,000035.SZ,4.7,4.7,4.54,4.55,0.09,55859.17,25602.607
20181204,000035.SZ,4.58,4.7,4.54,4.68,0.13,79420.86,36852.542
20181205,000035.SZ,4.6,4.85,4.56,4.78,0.1,115356.2,54669.299
20181206,000035.SZ,4.76,4.83,4.68,4.69,-0.09,56580.0,26775.982
20181207,000035.SZ,4.67,4.78,4.67,4.68,-0.01,49109.0,23122.293
20181210,000035.SZ,4.68,5.15,4.5,5.15,0.47,305219.14,153031.71
20181211,000035.SZ,5.18,5.36,5.05,5.31,0.16,378108.32,197921.548
20181212,000035.SZ,5.25,5.49,5.12,5.4,0.09,235463.05,124124.654
20181213,000035.SZ,5.32,5.46,5.29,5.29,-0.11,142295.62,76223.604
20181214,000035.SZ,5.3,5.47,5.15,5.19,-0.1,127201.44,67251.198
20181217,000035.SZ,5.16,5.29,5.14,5.24,0.05,74941.01,39141.223
20181218,000035.SZ,5.26,5.27,5.07,5.1,-0.14,83836.1,43103.825
20181219,000035.SZ,5.16,5.21,5.0,5.19,0.09,84041.31,43100.721
20181220,000035.SZ,5.1,5.16,5.04,5.11,-0.08,62775.76,32039.479
20181221,000035.SZ,5.09,5.29,5.06,5.16,0.05,109610.51,56958.815
20181224,000035.SZ,5.18,5.3,5.1,5.28,0.12,60726.55,31669.263
20181225,000035.SZ,5.19,5.27,5.09,5.26,-0.02,68714.0,35498.779
20181226,000035.SZ,5.2,5.27,5.17,5.21,-0.05,52987.0,27668.346
20181227,000035.SZ,5.26,5.35,5.19,5.24,0.03,109602.0,57787.067
20181228,000035.SZ,5.23,5.28,5.12,5.2,-0.04,68490.0,35689.23
20190102,000035.SZ,5.2,5.65,5.18,5.54,0.34,149563.67,82034.022
20190103,000035.SZ,5.57,5.78,5.42,5.61,0.07,141058.7,78813.194
20190104,000035.SZ,5.54,5.69,5.48,5.56,-0.05,128464.62,71498.872
20190107,000035.SZ,5.57,5.61,5.45,5.53,-0.03,96358.56,53155.191
20190108,000035.SZ,5.53,5.63,5.48,5.54,0.01,56068.11,31121.88
20190109,000035.SZ,5.55,5.58,5.42,5.42,-0.12,71713.0,39571.223
20190110,000035.SZ,5.44,5.49,5.34,5.39,-0.03,55727.94,30117.462
20190111,000035.SZ,5.39,5.52,5.33,5.47,0.08,46542.0,25282.478
20190114,000035.SZ,5.47,5.67,5.45,5.57,0.1,66355.94,36951.415
20190115,000035.SZ,5.57,5.63,5.52,5.54,-0.03,43672.01,24264.779
20190116,000035.SZ,5.56,5.58,5.2,5.22,-0.32,135296.77,72587.931
20190117,000035.SZ,5.31,5.35,5.2,5.24,0.02,65963.82,34770.285
20190118,000035.SZ,5.21,5.26,5.05,5.24,0.0,73996.12,38108.091
20190121,000035.SZ,5.22,5.22,5.14,5.17,-0.07,51877.06,26848.088
20190122,000035.SZ,5.18,5.2,5.06,5.08,-0.09,34476.0,17607.993
20190123,000035.SZ,5.11,5.14,5.08,5.1,0.02,26123.0,13351.198
20190124,000035.SZ,5.07,5.18,5.06,5.13,0.03,23902.02,12240.305
20190125,000035.SZ,5.13,5.15,5.08,5.08,-0.05,27152.0,13882.619
20190128,000035.SZ,5.15,5.18,5.1,5.16,0.08,49682.51,25581.192
20190129,000035.SZ,5.18,5.24,5.02,5.21,0.05,62112.84,32025.09
20190130,000035.SZ,5.18,5.21,5.05,5.05,-0.16,36265.0,18491.218
20190131,000035.SZ,5.05,5.1,4.77,4.78,-0.27,70759.62,34897.294
20190201,000035.SZ,4.82,5.01,4.82,4.99,0.21,32405.87,15999.832
20190211,000035.SZ,5.02,5.17,5.01,5.15,0.16,32831.0,16786.695
20190212,000035.SZ,5.19,5.21,5.09,5.13,-0.02,40452.72,20825.729
20190213,000035.SZ,5.1,5.29,5.1,5.25,0.12,60787.9,31775.447
20190214,000035.SZ,5.24,5.28,5.18,5.25,0.0,45777.16,23971.997
20190215,000035.SZ,5.26,5.26,5.16,5.16,-0.09,40569.16,21127.76
20190218,000035.SZ,5.19,5.35,5.18,5.35,0.19,64660.32,34208.477
20190219,000035.SZ,5.36,5.38,5.23,5.3,-0.05,65099.42,34556.336
20190220,000035.SZ,5.31,5.32,5.19,5.27,-0.03,52566.47,27629.862
20190221,000035.SZ,5.3,5.32,5.23,5.26,-0.01,71024.11,37504.418
20190222,000035.SZ,5.27,5.31,5.23,5.3,0.04,57377.06,30289.74
20190225,000035.SZ,5.36,5.5,5.29,5.45,0.15,155881.37,84530.403
20190226,000035.SZ,5.58,5.58,5.39,5.4,-0.05,139920.14,76550.645
20190227,000035.SZ,5.44,5.5,5.36,5.4,0.0,108414.97,58944.909
20190228,000035.SZ,5.37,5.48,5.36,5.43,0.03,73880.19,40050.63
20190301,000035.SZ,5.48,5.48,5.36,5.41,-0.02,76903.73,41578.2
20190304,000035.SZ,5.47,5.69,5.41,5.51,0.1,160261.86,89282.436
20190305,000035.SZ,5.54,5.61,5.44,5.6,0.09,156971.42,87279.501
20190306,000035.SZ,5.64,5.66,5.53,5.61,0.01,164811.93,92236.213
20190307,000035.SZ,5.61,5.7,5.57,5.65,0.04,185951.93,104737.742
20190308,000035.SZ,5.62,5.62,5.24,5.28,-0.37,180949.85,98133.125
20190311,000035.SZ,5.27,5.43,5.27,5.39,0.11,112614.43,60403.375
20190312,000035.SZ,5.42,5.89,5.42,5.73,0.34,331002.45,187226.638
20190313,000035.SZ,5.7,5.7,5.45,5.49,-0.24,199931.49,111502.575
20190314,000035.SZ,5.43,5.51,5.26,5.31,-0.18,105548.39,56541.762
20190315,000035.SZ,5.36,5.4,5.27,5.36,0.05,89907.08,48023.537
20190318,000035.SZ,5.4,5.44,5.28,5.42,0.06,93023.0,49925.42
20190319,000035.SZ,5.45,5.58,5.41,5.55,0.13,140386.98,77095.091
20190320,000035.SZ,5.57,5.57,5.36,5.47,-0.08,101281.0,55220.207
20190321,000035.SZ,5.49,5.57,5.43,5.52,0.05,144205.99,79288.951
20190322,000035.SZ,5.53,5.53,5.4,5.5,-0.02,79248.36,43393.428
20190325,000035.SZ,5.41,5.44,5.3,5.37,-0.13,83699.2,45200.908
20190326,000035.SZ,5.37,5.4,5.16,5.18,-0.19,92536.16,48655.588
20190327,000035.SZ,5.2,5.22,5.1,5.22,0.04,58684.82,30381.84
20190328,000035.SZ,5.22,5.22,5.1,5.1,-0.12,60605.0,31217.017
20190329,000035.SZ,5.12,5.21,5.06,5.21,0.11,72876.81,37542.022
20190401,000035.SZ,5.24,5.38,5.24,5.34,0.13,105628.82,56043.919
20190402,000035.SZ,5.37,5.37,5.27,5.3,-0.04,88035.3,46744.665
20190403,000035.SZ,5.31,5.35,5.26,5.35,0.05,85327.18,45358.161
20190404,000035.SZ,5.37,5.39,5.32,5.36,0.01,135701.18,72719.535
20190408,000035.SZ,5.37,5.42,5.13,5.24,-0.12,148352.67,78518.777
20190409,000035.SZ,5.25,5.34,5.2,5.3,0.06,113831.14,60084.332
20190410,000035.SZ,5.27,5.36,5.17,5.3,0.0,127300.2,67135.188
20190411,000035.SZ,5.34,5.35,5.15,5.17,-0.13,113050.25,59076.963
20190412,000035.SZ,5.17,5.24,5.12,5.22,0.05,80751.0,41899.921
20190415,000035.SZ,5.18,5.29,5.13,5.14,-0.08,112925.85,58948.917
20190416,000035.SZ,5.14,5.22,5.03,5.21,0.07,109012.49,55832.023
20190417,000035.SZ,5.22,5.33,5.16,5.26,0.05,102131.47,53751.5
20190418,000035.SZ,5.3,5.32,5.23,5.24,-0.02,93043.56,48967.081
20190419,000035.SZ,5.25,5.42,5.22,5.4,0.16,171754.03,91501.763
20190422,000035.SZ,5.4,5.64,5.38,5.46,0.06,221268.8,121625.426
20190423,000035.SZ,5.47,5.48,5.31,5.39,-0.07,126879.46,68176.685
20190424,000035.SZ,5.41,5.6,5.37,5.6,0.21,239005.14,131690.595
20190425,000035.SZ,5.56,5.56,5.32,5.33,-0.27,164739.42,89499.755
20190426,000035.SZ,5.3,5.34,5.12,5.17,-0.16,96837.55,50508.253
20190429,000035.SZ,5.21,5.33,5.1,5.12,-0.05,110300.44,57482.654
20190430,000035.SZ,5.14,5.22,5.11,5.13,0.01,57286.0,29650.356
20190506,000035.SZ,5.02,5.02,4.62,4.78,-0.35,140211.73,67550.764
20190507,000035.SZ,4.82,4.86,4.72,4.79,0.01,63973.16,30694.538
20190508,000035.SZ,4.72,4.82,4.66,4.69,-0.1,72779.6,34522.079
20190509,000035.SZ,4.67,4.68,4.41,4.5,-0.19,121562.0,55101.379
20190510,000035.SZ,4.51,4.61,4.4,4.57,0.07,89114.42,40495.537
20190513,000035.SZ,4.55,4.68,4.41,4.64,0.07,81410.82,37479.265
20190514,000035.SZ,4.59,4.64,4.53,4.53,-0.11,57308.0,26246.473
20190515,000035.SZ,4.56,4.64,4.56,4.61,0.08,54864.06,25218.645
20190516,000035.SZ,4.61,4.64,4.57,4.63,0.02,53211.46,24543.415
20190517,000035.SZ,4.62,4.66,4.36,4.38,-0.25,91590.58,41029.942
20190520,000035.SZ,4.33,4.41,4.22,4.34,-0.04,53909.73,23114.178
20190521,000035.SZ,4.33,4.43,4.31,4.4,0.06,40222.01,17673.612
20190522,000035.SZ,4.4,4.48,4.31,4.39,-0.01,40738.05,17947.652
20190523,000035.SZ,4.37,4.37,4.27,4.3,-0.09,45776.16,19699.304
20190524,000035.SZ,4.28,4.31,4.23,4.28,-0.02,27440.79,11711.197
20190527,000035.SZ,4.28,4.37,4.2,4.37,0.09,46408.98,19976.264
20190528,000035.SZ,4.37,4.38,4.32,4.33,-0.04,39014.4,16986.451
20190529,000035.SZ,4.3,4.35,4.3,4.32,-0.01,25960.13,11230.337
20190530,000035.SZ,4.3,4.32,4.26,4.3,-0.02,29328.0,12582.297
20190531,000035.SZ,4.29,4.38,4.28,4.36,0.06,33184.1,14429.887
20190603,000035.SZ,4.37,4.8,4.29,4.61,0.25,220178.68,102417.285
20190604,000035.SZ,4.55,4.55,4.41,4.42,-0.19,131868.11,58924.1
20190605,000035.SZ,4.45,4.77,4.43,4.66,0.24,175415.67,81204.642
20190606,000035.SZ,4.63,4.67,4.52,4.61,-0.05,94006.3,43113.222
20190610,000035.SZ,4.62,4.84,4.56,4.83,0.22,160592.96,76566.366
20190611,000035.SZ,4.82,4.93,4.74,4.88,0.05,138595.05,67232.942
20190612,000035.SZ,4.88,4.88,4.76,4.78,-0.1,87271.0,41839.234
20190613,000035.SZ,4.77,4.78,4.65,4.68,-0.1,79934.0,37690.698
20190614,000035.SZ,4.7,4.77,4.64,4.7,0.02,65056.33,30531.568
20190617,000035.SZ,4.71,4.75,4.6,4.61,-0.09,50439.87,23547.958
20190618,000035.SZ,4.61,4.85,4.59,4.72,0.11,76754.53,36063.194
20190619,000035.SZ,4.74,5.19,4.68,5.19,0.47,388769.09,195929.328
20190620,000035.SZ,5.31,5.5,5.22,5.43,0.24,595312.49,320549.99
20190621,000035.SZ,5.47,5.67,5.32,5.58,0.15,613714.07,337937.279
20190624,000035.SZ,5.62,5.67,5.35,5.43,-0.15,418992.65,229749.592
20190625,000035.SZ,5.43,5.97,5.32,5.97,0.54,870877.68,507063.669
20190626,000035.SZ,5.96,6.57,5.72,6.03,0.06,1188615.96,749026.385
20190627,000035.SZ,5.78,6.28,5.76,6.0,-0.03,946109.21,566056.995
20190628,000035.SZ,5.89,6.19,5.57,6.0,0.0,811654.77,480759.741
20190701,000035.SZ,6.26,6.42,6.07,6.12,0.12,763676.69,475634.413
20190702,000035.SZ,6.17,6.18,5.85,6.05,-0.07,573600.33,344275.007
20190703,000035.SZ,6.08,6.49,6.05,6.24,0.19,781481.17,491057.786
20190704,000035.SZ,6.15,6.61,6.08,6.35,0.11,685338.73,435310.753
20190705,000035.SZ,6.35,6.49,6.17,6.24,-0.11,524853.74,331361.455
20190708,000035.SZ,6.31,6.52,6.23,6.31,0.07,617491.5,392649.203
20190709,000035.SZ,6.12,6.22,5.82,5.97,-0.34,569285.31,340586.233
