date,code,open,high,low,close,change,volume,amount
20180102,000060.SZ,11.26,11.32,11.12,11.28,0.11,409161.12,458735.28
20180103,000060.SZ,11.38,11.48,11.19,11.21,-0.07,426431.32,482848.62
20180104,000060.SZ,11.11,11.35,11.06,11.35,0.14,505266.14,564366.071
20180105,000060.SZ,11.31,11.46,11.19,11.31,-0.04,474529.95,536520.387
20180108,000060.SZ,11.21,11.71,11.17,11.55,0.24,645401.61,740351.909
20180109,000060.SZ,11.71,11.76,11.51,11.57,0.02,470090.0,545961.039
20180110,000060.SZ,11.41,11.63,11.31,11.34,-0.23,508949.73,582006.275
20180111,000060.SZ,11.36,11.48,11.22,11.45,0.11,429002.66,486399.022
20180112,000060.SZ,11.55,11.55,11.27,11.43,-0.02,438032.76,501236.178
20180115,000060.SZ,11.43,11.48,11.12,11.21,-0.22,409977.39,462292.147
20180116,000060.SZ,11.22,11.24,10.95,11.1,-0.11,421628.22,468291.113
20180117,000060.SZ,11.08,11.15,10.87,11.03,-0.07,431722.94,475582.59
20180118,000060.SZ,11.08,11.21,11.03,11.09,0.06,324230.01,360317.656
20180119,000060.SZ,11.14,11.31,11.02,11.31,0.22,415159.86,463035.096
20180122,000060.SZ,11.31,11.64,11.21,11.64,0.33,795483.63,912829.53
20180123,000060.SZ,11.64,11.88,11.53,11.81,0.17,862878.16,1011956.397
20180124,000060.SZ,11.65,11.69,11.38,11.48,-0.33,808815.45,931042.335
20180125,000060.SZ,11.63,11.88,11.56,11.82,0.34,996399.31,1168752.717
20180126,000060.SZ,11.65,11.68,11.53,11.59,-0.23,527309.15,612071.789
20180129,000060.SZ,11.98,12.0,11.73,11.82,0.23,904621.38,1073461.918
20180130,000060.SZ,11.8,12.26,11.75,11.8,-0.02,1053364.98,1265640.935
20180131,000060.SZ,11.55,12.03,11.47,12.0,0.2,777804.03,912630.118
20180201,000060.SZ,11.86,12.05,11.02,11.29,-0.71,822192.33,952957.032
20180202,000060.SZ,11.31,12.2,11.16,12.08,0.79,990242.03,1163391.693
20180205,000060.SZ,11.8,12.26,11.79,12.1,0.02,965459.1,1160097.476
20180206,000060.SZ,11.75,12.3,11.32,11.41,-0.69,1175390.6,1398871.285
