date,code,open,high,low,close,change,volume,amount
20180102,000099.SZ,9.03,9.15,9.0,9.14,0.12,37023.88,33652.978
20180103,000099.SZ,9.14,9.35,9.11,9.29,0.15,47142.82,43513.897
20180104,000099.SZ,9.27,9.32,9.23,9.27,-0.02,30956.7,28673.282
20180105,000099.SZ,9.27,9.99,9.24,9.68,0.41,101476.42,97494.842
20180108,000099.SZ,9.44,9.64,9.44,9.55,-0.13,71951.49,68562.274
20180109,000099.SZ,9.5,9.58,9.37,9.4,-0.15,45274.8,42861.706
20180110,000099.SZ,9.45,9.45,9.3,9.35,-0.05,31475.41,29470.453
20180111,000099.SZ,9.3,9.43,9.25,9.38,0.03,26226.07,24514.747
20180112,000099.SZ,9.38,9.38,9.23,9.24,-0.14,26501.0,24641.078
20180115,000099.SZ,9.27,9.28,8.95,9.0,-0.24,34619.01,31576.866
20180116,000099.SZ,9.01,9.13,8.98,9.03,0.03,23337.95,21118.22
20180117,000099.SZ,9.03,9.12,8.99,9.08,0.05,25860.01,23414.809
20180118,000099.SZ,9.08,9.18,9.04,9.13,0.05,16643.0,15187.623
20180119,000099.SZ,9.15,9.46,9.11,9.31,0.18,52030.03,48481.0
20180122,000099.SZ,9.29,9.47,9.27,9.42,0.11,51242.92,48177.136
20180123,000099.SZ,9.39,9.49,9.34,9.37,-0.05,33081.51,31091.775
20180124,000099.SZ,9.32,9.43,9.31,9.42,0.05,28952.44,27182.218
20180125,000099.SZ,9.43,9.6,9.37,9.52,0.1,63108.02,60038.349
20180126,000099.SZ,9.51,9.72,9.47,9.59,0.07,70273.78,67713.996
20180129,000099.SZ,9.6,9.63,9.26,9.29,-0.3,45995.69,43289.805
20180130,000099.SZ,9.29,9.4,9.25,9.37,0.08,28791.36,26942.476
20180131,000099.SZ,9.34,9.41,8.91,9.04,-0.33,55435.28,50956.233
20180201,000099.SZ,9.11,9.11,8.53,8.6,-0.44,68147.65,59407.447
20180202,000099.SZ,8.58,8.59,8.22,8.4,-0.2,42233.49,35431.843
20180205,000099.SZ,8.27,8.38,8.22,8.32,-0.08,33567.29,27949.906
20180206,000099.SZ,8.2,8.2,7.55,7.55,-0.77,57022.3,45177.94
20180207,000099.SZ,7.66,7.87,7.35,7.68,0.13,39544.8,30271.246
20180208,000099.SZ,7.68,7.87,7.64,7.76,0.08,27999.92,21791.445
20180209,000099.SZ,7.6,7.79,7.4,7.54,-0.22,37608.82,28560.351
20180212,000099.SZ,7.54,7.85,7.54,7.76,0.22,26942.78,20888.884
20180213,000099.SZ,7.78,7.92,7.72,7.78,0.02,28909.87,22579.082
20180214,000099.SZ,7.77,7.78,7.66,7.76,-0.02,21591.0,16662.319
20180222,000099.SZ,7.79,8.08,7.79,7.98,0.22,34714.17,27546.811
20180223,000099.SZ,7.9,7.99,7.89,7.92,-0.06,24278.33,19249.453
20180226,000099.SZ,7.95,8.09,7.9,8.08,0.16,39306.8,31482.589
20180227,000099.SZ,8.08,8.35,8.04,8.22,0.14,59549.02,48785.997
20180228,000099.SZ,8.12,8.29,8.03,8.18,-0.04,36475.6,29827.103
20180301,000099.SZ,8.15,8.32,8.09,8.32,0.14,39254.94,32365.37
20180302,000099.SZ,8.25,8.29,8.16,8.2,-0.12,30061.12,24743.44
20180305,000099.SZ,8.18,8.3,8.18,8.3,0.1,27469.5,22662.379
20180306,000099.SZ,8.3,8.33,8.17,8.32,0.02,32266.85,26720.539
20180307,000099.SZ,8.32,8.33,8.21,8.23,-0.09,21173.92,17517.63
20180308,000099.SZ,8.23,8.31,8.22,8.27,0.04,20348.69,16811.451
20180309,000099.SZ,8.27,8.46,8.27,8.36,0.09,53275.07,44524.452
20180312,000099.SZ,8.36,8.57,8.32,8.55,0.19,54200.06,45876.958
20180313,000099.SZ,8.57,8.58,8.43,8.45,-0.1,35174.42,29868.32
20180314,000099.SZ,8.45,8.51,8.39,8.4,-0.05,22695.5,19166.71
20180315,000099.SZ,8.38,8.4,8.16,8.24,-0.16,36989.76,30596.424
20180316,000099.SZ,8.24,8.39,8.22,8.31,0.07,32557.81,27008.68
20180319,000099.SZ,8.33,8.41,8.24,8.29,-0.02,31260.01,26043.625
20180320,000099.SZ,8.17,8.38,8.17,8.37,0.08,42080.37,34843.677
20180321,000099.SZ,8.36,8.63,8.32,8.44,0.07,100875.19,85760.098
20180322,000099.SZ,8.41,8.57,8.36,8.57,0.13,62438.41,52821.454
