date,code,open,high,low,close,change,volume,amount
20180102,000061.SZ,7.66,7.75,7.66,7.7,0.04,32827.11,25290.956
20180103,000061.SZ,7.74,7.74,7.66,7.71,0.01,36457.47,28077.704
20180104,000061.SZ,7.69,7.73,7.68,7.7,-0.01,21398.57,16484.443
20180105,000061.SZ,7.7,8.38,7.65,8.04,0.34,150708.01,120087.788
20180108,000061.SZ,7.97,7.97,7.79,7.84,-0.2,83360.58,65451.396
20180109,000061.SZ,7.84,7.87,7.73,7.79,-0.05,36629.94,28535.76
20180110,000061.SZ,7.79,7.86,7.75,7.82,0.03,31342.52,24435.292
20180111,000061.SZ,7.82,7.84,7.74,7.84,0.02,27568.08,21503.059
20180112,000061.SZ,7.84,7.88,7.79,7.82,-0.02,23547.39,18449.714
20180115,000061.SZ,7.84,7.84,7.55,7.6,-0.22,34955.0,26911.777
20180116,000061.SZ,7.62,7.8,7.62,7.71,0.11,48220.33,37331.403
20180117,000061.SZ,7.72,7.92,7.6,7.77,0.06,57962.09,45010.786
20180118,000061.SZ,7.73,7.83,7.7,7.78,0.01,27882.69,21662.514
20180119,000061.SZ,7.78,7.8,7.7,7.7,-0.08,27516.01,21267.606
20180122,000061.SZ,7.74,7.86,7.71,7.85,0.15,36271.76,28279.533
20180123,000061.SZ,7.85,8.08,7.85,8.03,0.18,74034.08,59135.446
20180124,000061.SZ,8.05,8.07,7.95,8.01,-0.02,54811.17,43904.669
20180125,000061.SZ,8.02,8.06,7.95,7.97,-0.04,41618.17,33346.074
20180126,000061.SZ,7.97,8.0,7.92,7.96,-0.01,32334.69,25743.325
20180129,000061.SZ,7.96,7.98,7.79,7.8,-0.16,30971.61,24367.315
20180130,000061.SZ,7.87,7.88,7.79,7.8,0.0,22478.36,17611.363
20180131,000061.SZ,7.84,7.84,7.5,7.56,-0.24,44543.17,33881.657
20180201,000061.SZ,7.5,7.58,7.07,7.09,-0.47,45930.0,33396.186
20180202,000061.SZ,7.06,7.06,6.5,6.88,-0.21,37686.3,25672.089
20180205,000061.SZ,6.84,7.06,6.78,6.91,0.03,30771.2,21353.808
20180206,000061.SZ,6.77,6.87,6.46,6.49,-0.42,47870.91,31760.822
20180207,000061.SZ,6.57,6.65,6.42,6.55,0.06,26228.49,17242.587
20180208,000061.SZ,6.55,6.7,6.52,6.63,0.08,20445.66,13604.907
20180209,000061.SZ,6.58,6.58,6.29,6.32,-0.31,54443.39,34970.701
20180212,000061.SZ,6.33,6.49,6.32,6.34,0.02,30017.0,19234.216
20180213,000061.SZ,6.39,6.48,6.26,6.35,0.01,54547.48,34642.129
20180214,000061.SZ,6.35,6.35,6.25,6.31,-0.04,22626.0,14270.445
20180222,000061.SZ,6.37,6.49,6.34,6.46,0.15,24409.63,15670.469
20180223,000061.SZ,6.46,6.58,6.42,6.45,-0.01,43545.18,28296.555
20180226,000061.SZ,6.48,6.58,6.47,6.58,0.13,52603.11,34330.794
20180227,000061.SZ,6.57,6.65,6.53,6.6,0.02,35840.41,23668.523
20180228,000061.SZ,6.6,6.6,6.5,6.56,-0.04,30258.74,19776.766
