date,code,open,high,low,close,change,volume,amount
20180102,000404.SZ,6.3,6.32,6.26,6.31,0.02,63567.16,40026.486
20180103,000404.SZ,6.3,6.34,6.25,6.3,-0.01,57736.29,36354.997
20180104,000404.SZ,6.3,6.31,6.23,6.26,-0.04,50113.85,31384.223
20180105,000404.SZ,6.26,6.32,6.23,6.3,0.04,53524.61,33617.753
20180108,000404.SZ,6.29,6.38,6.27,6.36,0.06,77221.02,48914.041
20180109,000404.SZ,6.4,6.44,6.29,6.32,-0.04,79348.09,50441.811
20180110,000404.SZ,6.32,6.32,6.19,6.22,-0.1,54305.84,33936.274
20180111,000404.SZ,6.23,6.23,6.13,6.21,-0.01,76784.48,47422.307
20180112,000404.SZ,6.2,6.23,6.17,6.19,-0.02,44744.25,27729.602
20180115,000404.SZ,6.19,6.19,6.02,6.04,-0.15,72538.14,44324.852
20180116,000404.SZ,5.91,5.94,5.75,5.81,-0.23,143947.19,84235.595
20180117,000404.SZ,5.8,5.81,5.71,5.79,-0.02,73158.01,42069.013
20180118,000404.SZ,5.79,5.85,5.73,5.83,0.04,72163.62,41755.436
20180119,000404.SZ,5.84,5.85,5.76,5.77,-0.06,43920.38,25497.849
20180122,000404.SZ,5.73,5.79,5.65,5.78,0.01,52704.01,30173.713
20180123,000404.SZ,5.77,5.82,5.73,5.82,0.04,44250.32,25624.867
20180124,000404.SZ,5.81,5.89,5.81,5.88,0.06,58968.8,34453.98
20180125,000404.SZ,5.91,6.01,5.9,5.98,0.1,100622.79,60085.978
20180126,000404.SZ,5.96,5.97,5.9,5.91,-0.07,41319.3,24501.633
20180129,000404.SZ,5.91,5.93,5.76,5.79,-0.12,39234.85,22848.847
20180130,000404.SZ,5.8,5.83,5.76,5.8,0.01,42090.14,24384.295
20180131,000404.SZ,5.79,5.79,5.56,5.6,-0.2,54799.5,31108.976
20180201,000404.SZ,5.6,5.64,5.34,5.38,-0.22,75834.31,41275.548
20180202,000404.SZ,5.4,5.42,5.25,5.38,0.0,29460.33,15782.999
20180205,000404.SZ,5.25,5.4,5.24,5.4,0.02,36604.09,19577.395
20180206,000404.SZ,5.33,5.37,5.06,5.08,-0.32,49687.67,26016.815
20180207,000404.SZ,5.15,5.24,5.09,5.15,0.07,48797.95,25207.835
20180208,000404.SZ,5.16,5.22,5.15,5.18,0.03,40056.76,20729.284
20180209,000404.SZ,5.09,5.09,4.96,5.03,-0.15,55851.7,28029.639
20180212,000404.SZ,5.04,5.19,5.04,5.15,0.12,60143.85,30847.155
20180213,000404.SZ,5.15,5.2,5.12,5.12,-0.03,27138.0,14006.98
20180214,000404.SZ,5.15,5.18,5.1,5.16,0.04,27412.45,14101.866
20180222,000404.SZ,5.18,5.21,5.16,5.21,0.05,31123.55,16167.224
