date,code,open,high,low,close,change,volume,amount
20180102,000408.SZ,17.72,17.88,17.53,17.77,0.07,50585.62,89468.433
20180103,000408.SZ,17.71,18.19,17.61,18.1,0.33,123188.59,222233.391
20180104,000408.SZ,18.09,18.16,17.9,18.07,-0.03,72010.67,129786.691
20180105,000408.SZ,18.09,19.23,18.02,18.98,0.91,359939.08,676221.8
20180108,000408.SZ,19.14,19.6,19.06,19.12,0.14,224924.01,434522.279
20180109,000408.SZ,19.06,19.3,18.7,19.3,0.18,127368.82,241683.489
20180110,000408.SZ,19.37,19.97,18.95,19.02,-0.28,163370.85,317257.429
20180111,000408.SZ,18.78,19.73,18.62,19.31,0.29,171104.26,329743.636
20180112,000408.SZ,19.23,19.23,18.68,18.87,-0.44,107948.25,203608.757
20180115,000408.SZ,18.91,18.96,17.5,17.9,-0.97,145322.2,265571.693
20180116,000408.SZ,17.9,18.06,17.62,17.82,-0.08,78829.21,140526.646
20180117,000408.SZ,17.81,17.88,17.3,17.36,-0.46,101288.0,177513.502
20180118,000408.SZ,17.33,17.7,17.33,17.42,0.06,42447.85,74341.981
20180119,000408.SZ,17.42,17.52,17.0,17.52,0.1,71216.07,122796.169
20180122,000408.SZ,17.45,17.73,17.26,17.66,0.14,52905.39,92700.79
20180123,000408.SZ,17.58,17.94,17.49,17.5,-0.16,51895.63,91844.02
20180124,000408.SZ,17.51,17.63,17.03,17.13,-0.37,80654.48,138635.476
20180125,000408.SZ,17.08,17.35,17.0,17.08,-0.05,54373.08,93196.518
20180126,000408.SZ,17.12,17.25,16.5,16.72,-0.36,107997.02,181252.357
20180129,000408.SZ,16.8,16.88,16.05,16.13,-0.59,137480.02,224138.722
20180130,000408.SZ,16.18,16.51,15.9,16.34,0.21,90297.02,146482.494
20180131,000408.SZ,16.52,16.58,16.22,16.38,0.04,60443.86,99402.929
20180201,000408.SZ,16.04,16.35,16.0,16.0,-0.38,66140.4,106121.186
20180202,000408.SZ,15.98,16.18,15.4,16.04,0.04,83796.95,134038.007
20180205,000408.SZ,16.05,16.33,16.05,16.09,0.05,83331.06,134351.455
20180206,000408.SZ,16.09,16.26,15.02,15.42,-0.67,171724.44,273566.669
20180207,000408.SZ,15.8,15.9,14.5,15.19,-0.23,62944.6,95533.996
20180208,000408.SZ,15.11,15.21,14.81,15.15,-0.04,38194.15,57417.767
20180209,000408.SZ,15.14,15.14,14.6,14.95,-0.2,61643.02,91920.111
20180212,000408.SZ,14.95,15.85,14.82,15.62,0.67,67280.2,103711.189
20180213,000408.SZ,15.6,15.85,15.53,15.63,0.01,38514.3,60385.49
20180214,000408.SZ,15.62,15.73,15.51,15.72,0.09,20751.1,32382.635
20180222,000408.SZ,15.88,16.4,15.75,16.13,0.41,33556.08,54058.086
20180223,000408.SZ,16.1,16.22,15.81,16.05,-0.08,24262.09,38800.33
20180226,000408.SZ,15.98,16.54,15.98,16.46,0.41,68674.27,112484.625
20180227,000408.SZ,16.39,16.63,16.21,16.4,-0.06,44577.93,73183.175
20180228,000408.SZ,16.27,16.6,16.24,16.45,0.05,31964.52,52581.846
20180301,000408.SZ,16.35,16.73,16.27,16.46,0.01,35641.88,58665.887
20180302,000408.SZ,16.38,16.72,16.3,16.69,0.23,43390.05,72044.869
20180305,000408.SZ,16.65,16.95,16.5,16.67,-0.02,38006.1,63712.596
20180306,000408.SZ,16.58,16.72,16.5,16.61,-0.06,31148.25,51716.791
20180307,000408.SZ,16.63,16.63,16.2,16.2,-0.41,29102.0,47660.341
20180308,000408.SZ,16.2,16.59,16.2,16.37,0.17,19814.91,32454.962
20180309,000408.SZ,16.33,16.54,16.25,16.54,0.17,28100.35,46191.957
20180312,000408.SZ,16.65,16.98,16.51,16.85,0.31,48853.6,81937.705
20180313,000408.SZ,16.86,17.59,16.8,16.86,0.01,121746.6,208757.027
20180314,000408.SZ,16.81,17.06,16.62,16.85,-0.01,75597.02,127611.67
20180315,000408.SZ,16.7,16.85,16.51,16.68,-0.17,43549.0,72482.55
20180316,000408.SZ,16.71,16.77,16.33,16.4,-0.28,48241.91,79669.82
20180319,000408.SZ,16.4,16.68,16.36,16.55,0.15,37933.99,62648.585
20180320,000408.SZ,16.47,16.47,16.21,16.32,-0.23,27063.0,44119.433
20180321,000408.SZ,16.23,16.49,16.23,16.28,-0.04,23598.25,38604.786
20180322,000408.SZ,16.26,16.37,16.02,16.02,-0.26,25551.0,41221.203
20180323,000408.SZ,15.59,15.59,14.5,14.71,-1.31,60793.23,91472.879
20180326,000408.SZ,14.58,15.04,14.5,15.0,0.29,36598.34,54358.887
20180327,000408.SZ,15.79,16.25,15.56,16.02,1.02,77628.79,123305.865
20180328,000408.SZ,15.79,16.28,15.7,15.88,-0.14,35070.2,56215.971
20180329,000408.SZ,15.8,16.27,15.8,16.16,0.28,33376.64,53796.862
20180330,000408.SZ,16.36,16.9,16.36,16.7,0.54,59686.86,99610.776
20180402,000408.SZ,16.89,17.04,16.42,16.5,-0.2,104939.07,175645.709
20180403,000408.SZ,16.9,17.13,16.51,16.83,0.33,164112.06,277304.766
20180404,000408.SZ,16.62,16.94,16.41,16.66,-0.17,93149.4,155111.214
20180409,000408.SZ,16.6,16.87,16.35,16.7,0.04,54142.97,90053.118
20180410,000408.SZ,16.6,16.8,16.6,16.75,0.05,43980.16,73410.614
20180411,000408.SZ,16.93,16.93,16.58,16.67,-0.08,44938.6,75049.346
20180412,000408.SZ,16.57,16.75,16.47,16.63,-0.04,43976.15,73056.161
