date,code,open,high,low,close,change,volume,amount
20180102,000016.SZ,6.06,6.16,6.03,6.12,0.06,124368.3,75916.581
20180103,000016.SZ,6.13,6.23,6.13,6.22,0.1,153677.04,95236.414
20180104,000016.SZ,6.21,6.42,6.15,6.31,0.09,183280.85,115211.924
20180105,000016.SZ,6.31,6.45,6.27,6.32,0.01,159533.14,101768.098
20180108,000016.SZ,6.28,6.41,6.28,6.35,0.03,138148.14,87719.608
20180109,000016.SZ,6.35,6.4,6.18,6.35,0.0,220714.08,138665.053
20180110,000016.SZ,6.32,6.38,6.26,6.35,0.0,129053.98,81666.216
20180111,000016.SZ,6.35,6.74,6.29,6.64,0.29,382887.06,251453.592
20180112,000016.SZ,6.66,6.73,6.49,6.63,-0.01,210193.42,138759.622
20180115,000016.SZ,6.69,6.69,6.35,6.41,-0.22,192771.35,125294.284
20180116,000016.SZ,6.39,6.49,6.35,6.47,0.06,127984.45,82215.926
20180117,000016.SZ,6.41,6.46,6.3,6.37,-0.1,141139.78,89962.929
20180118,000016.SZ,6.36,6.64,6.33,6.64,0.27,240146.75,156868.949
20180119,000016.SZ,6.79,6.84,6.62,6.66,0.02,254365.32,170398.134
20180122,000016.SZ,6.68,6.88,6.61,6.82,0.16,300673.86,202573.802
20180123,000016.SZ,6.77,7.32,6.76,7.17,0.35,806471.15,568503.918
20180124,000016.SZ,7.18,7.23,7.01,7.18,0.01,329295.7,234721.252
20180125,000016.SZ,7.13,7.37,7.11,7.3,0.12,323858.27,234966.314
20180126,000016.SZ,7.33,7.4,6.82,6.89,-0.41,779074.43,551373.655
20180129,000016.SZ,6.75,6.82,6.6,6.64,-0.25,314475.3,210441.689
20180130,000016.SZ,6.63,6.94,6.61,6.81,0.17,297023.6,201427.326
20180131,000016.SZ,6.77,7.14,6.75,6.94,0.13,355220.15,247442.692
20180201,000016.SZ,6.94,7.06,6.61,6.7,-0.24,279101.88,189919.922
20180202,000016.SZ,6.72,6.78,6.49,6.78,0.08,165395.8,110178.376
20180205,000016.SZ,6.62,6.89,6.55,6.73,-0.05,173095.0,115924.014
20180206,000016.SZ,6.6,6.61,6.06,6.06,-0.67,580742.18,357396.471
20180207,000016.SZ,6.11,6.18,5.51,5.79,-0.27,365276.67,214511.78
20180208,000016.SZ,5.73,5.94,5.68,5.83,0.04,166073.19,96651.663
20180209,000016.SZ,5.63,5.69,5.38,5.53,-0.3,252143.35,139331.634
20180212,000016.SZ,5.59,5.93,5.59,5.75,0.22,178944.84,103291.573
20180213,000016.SZ,5.78,5.92,5.71,5.74,-0.01,142643.4,82723.584
20180214,000016.SZ,5.74,5.8,5.71,5.77,0.03,64451.34,37118.663
20180222,000016.SZ,5.85,5.91,5.79,5.88,0.11,78734.0,46066.152
20180223,000016.SZ,5.88,6.06,5.85,6.03,0.15,118668.0,71112.663
20180226,000016.SZ,6.08,6.14,5.98,6.04,0.01,121290.75,73644.434
20180227,000016.SZ,6.02,6.11,5.9,5.93,-0.11,125094.6,74841.669
20180228,000016.SZ,5.9,6.03,5.85,5.98,0.05,82994.0,49395.072
20180301,000016.SZ,5.92,5.98,5.91,5.94,-0.04,100777.42,59907.622
20180302,000016.SZ,5.9,5.95,5.88,5.91,-0.03,66112.02,39068.348
20180305,000016.SZ,5.93,5.96,5.84,5.92,0.01,73921.75,43617.784
20180306,000016.SZ,5.92,6.18,5.88,6.14,0.22,262230.64,159109.978
20180307,000016.SZ,6.16,6.48,6.11,6.29,0.15,244102.53,154249.71
20180308,000016.SZ,6.27,6.48,6.23,6.38,0.09,197447.0,126055.84
20180309,000016.SZ,6.45,6.45,6.25,6.31,-0.07,141438.74,89129.164
20180312,000016.SZ,6.32,6.36,6.22,6.33,0.02,173904.79,109307.9
20180313,000016.SZ,6.3,6.44,6.27,6.32,-0.01,114970.22,73101.382
20180314,000016.SZ,6.32,6.34,6.22,6.29,-0.03,79922.0,50111.91
20180315,000016.SZ,6.28,6.37,6.25,6.34,0.05,112419.7,70935.817
20180316,000016.SZ,6.34,6.82,6.3,6.71,0.37,357616.11,235746.109
20180319,000016.SZ,6.76,6.95,6.72,6.77,0.06,273439.72,186338.016
20180320,000016.SZ,6.76,7.1,6.62,7.04,0.27,265492.11,182068.399
20180321,000016.SZ,7.04,7.12,6.81,6.81,-0.23,235955.5,164856.505
20180322,000016.SZ,6.8,6.97,6.66,6.77,-0.04,184582.0,125379.924
20180323,000016.SZ,6.5,6.64,6.22,6.31,-0.46,281988.46,180740.382
20180326,000016.SZ,6.28,6.65,6.09,6.48,0.17,253887.47,163495.034
20180327,000016.SZ,6.64,6.94,6.63,6.8,0.32,254679.86,173132.49
20180328,000016.SZ,6.76,6.92,6.7,6.83,0.03,189844.55,128921.972
