date,code,open,high,low,close,change,volume,amount
20180102,000409.SZ,5.25,5.36,5.21,5.35,0.11,43746.5,23121.652
20180103,000409.SZ,5.5,5.89,5.42,5.89,0.54,69854.32,40247.005
20180104,000409.SZ,6.03,6.38,5.94,6.3,0.41,275523.83,171002.412
20180105,000409.SZ,6.3,6.3,6.0,6.07,-0.23,136062.21,83148.693
20180108,000409.SZ,6.06,6.07,5.9,6.0,-0.07,71948.85,43053.974
20180109,000409.SZ,5.98,5.98,5.86,5.89,-0.11,65772.65,38764.54
20180110,000409.SZ,5.9,5.9,5.72,5.79,-0.1,59874.5,34609.659
20180111,000409.SZ,5.78,5.91,5.67,5.9,0.11,60743.63,35358.083
20180112,000409.SZ,5.87,5.95,5.81,5.85,-0.05,47308.75,27732.398
20180115,000409.SZ,5.9,6.44,5.9,6.18,0.33,180066.32,112831.029
20180116,000409.SZ,6.22,6.25,5.99,6.25,0.07,111779.79,68351.482
20180117,000409.SZ,6.16,6.24,6.06,6.16,-0.09,60182.67,37043.279
20180118,000409.SZ,6.11,6.71,6.07,6.31,0.15,124610.73,79710.897
20180119,000409.SZ,6.29,6.51,6.19,6.38,0.07,77066.55,49182.682
20180122,000409.SZ,6.32,6.58,6.31,6.46,0.08,78660.05,50886.994
20180123,000409.SZ,6.4,6.56,6.33,6.41,-0.05,55927.4,35794.536
20180124,000409.SZ,6.34,6.45,6.21,6.25,-0.16,46375.34,29077.933
20180125,000409.SZ,6.28,6.42,6.25,6.31,0.06,50355.93,31913.221
20180126,000409.SZ,6.31,6.32,6.23,6.24,-0.07,24258.14,15208.627
20180129,000409.SZ,6.26,6.31,6.11,6.25,0.01,42479.74,26426.906
20180130,000409.SZ,6.23,6.23,6.12,6.12,-0.13,16944.39,10444.254
20180131,000409.SZ,6.12,6.18,5.91,5.97,-0.15,44738.89,26941.51
20180201,000409.SZ,5.92,6.02,5.37,5.37,-0.6,90022.98,50514.317
20180202,000409.SZ,5.37,5.37,4.99,5.3,-0.07,52406.66,27395.111
20180205,000409.SZ,5.22,5.55,5.19,5.5,0.2,40074.71,21760.196
20180206,000409.SZ,5.39,5.89,5.29,5.43,-0.07,74915.24,42032.074
20180207,000409.SZ,5.45,5.58,5.33,5.49,0.06,42377.21,23211.234
20180208,000409.SZ,5.49,5.55,5.38,5.44,-0.05,27514.89,15055.08
20180209,000409.SZ,5.33,5.33,5.13,5.18,-0.26,37998.73,19862.861
20180212,000409.SZ,5.19,5.32,5.19,5.28,0.1,18706.89,9878.039
20180213,000409.SZ,5.34,5.35,5.25,5.26,-0.02,22738.12,12045.498
20180214,000409.SZ,5.25,5.32,5.25,5.29,0.03,14531.31,7690.093
20180222,000409.SZ,5.33,5.54,5.31,5.4,0.11,27927.05,15100.689
20180223,000409.SZ,5.38,5.46,5.37,5.44,0.04,19975.83,10816.687
20180226,000409.SZ,5.44,5.56,5.44,5.54,0.1,28578.63,15773.215
20180227,000409.SZ,5.55,5.57,5.45,5.54,0.0,32705.82,17946.689
20180228,000409.SZ,5.51,5.67,5.43,5.64,0.1,32849.83,18211.392
20180301,000409.SZ,5.63,5.87,5.56,5.8,0.16,61553.42,35450.993
20180302,000409.SZ,5.7,5.88,5.7,5.74,-0.06,55618.86,32232.857
20180305,000409.SZ,5.66,5.73,5.55,5.57,-0.17,45081.61,25354.713
20180306,000409.SZ,5.6,5.63,5.54,5.61,0.04,38468.75,21484.314
20180307,000409.SZ,5.63,5.73,5.59,5.64,0.03,39080.42,22163.399
20180308,000409.SZ,5.61,5.65,5.55,5.61,-0.03,28462.05,15921.138
20180309,000409.SZ,5.6,5.68,5.52,5.65,0.04,33300.89,18634.468
20180312,000409.SZ,5.64,5.72,5.61,5.69,0.04,41996.57,23800.547
20180313,000409.SZ,5.71,5.84,5.66,5.84,0.15,65365.68,37733.332
20180314,000409.SZ,5.85,5.94,5.7,5.7,-0.14,47259.33,27366.266
20180315,000409.SZ,5.66,5.66,5.54,5.55,-0.15,35586.0,19908.124
20180316,000409.SZ,5.55,5.62,5.52,5.55,0.0,19287.83,10731.441
20180319,000409.SZ,5.59,5.59,5.44,5.49,-0.06,23374.84,12831.806
20180320,000409.SZ,5.5,5.56,5.44,5.51,0.02,25719.91,14151.418
20180321,000409.SZ,5.5,5.89,5.44,5.74,0.23,66805.47,37771.184
20180322,000409.SZ,5.69,5.79,5.61,5.66,-0.08,46839.8,26656.214
20180323,000409.SZ,5.58,5.98,5.48,5.7,0.04,120568.68,68790.459
20180326,000409.SZ,5.63,5.9,5.5,5.89,0.19,125539.73,72561.865
20180327,000409.SZ,5.9,6.18,5.81,6.1,0.21,144210.67,86715.654
20180328,000409.SZ,6.0,6.16,5.88,5.91,-0.19,95928.18,57464.973
20180329,000409.SZ,5.83,5.92,5.78,5.9,-0.01,56640.9,33115.818
20180330,000409.SZ,5.88,5.94,5.82,5.86,-0.04,40643.46,23817.983
20180402,000409.SZ,5.81,5.98,5.8,5.96,0.1,69282.23,40765.216
20180403,000409.SZ,5.96,6.04,5.8,5.81,-0.15,60718.88,35878.05
20180404,000409.SZ,5.77,5.86,5.75,5.76,-0.05,42469.87,24646.406
20180409,000409.SZ,5.7,5.73,5.57,5.6,-0.16,51380.31,28947.366
20180410,000409.SZ,5.59,5.66,5.58,5.64,0.04,26673.9,14992.42
20180411,000409.SZ,5.68,5.75,5.61,5.7,0.06,54340.28,30831.792
20180412,000409.SZ,5.7,5.82,5.67,5.81,0.11,69257.22,39842.812
20180413,000409.SZ,5.74,5.74,5.23,5.23,-0.58,179088.82,96021.564
20180416,000409.SZ,4.71,4.97,4.71,4.83,-0.4,148936.18,71759.769
20180417,000409.SZ,4.79,4.8,4.51,4.63,-0.2,103559.25,48192.12
20180418,000409.SZ,4.63,4.65,4.35,4.65,0.02,106736.61,48091.434
20180419,000409.SZ,4.6,4.67,4.55,4.62,-0.03,42527.37,19680.206
20180420,000409.SZ,4.63,4.63,4.53,4.59,-0.03,43001.41,19726.067
20180423,000409.SZ,4.54,4.63,4.53,4.57,-0.02,52842.18,24277.931
20180424,000409.SZ,4.57,4.62,4.55,4.58,0.01,42499.32,19484.891
20180425,000409.SZ,4.59,4.62,4.35,4.49,-0.09,128669.9,57379.728
20180426,000409.SZ,4.45,4.45,4.14,4.2,-0.29,148745.94,63323.538
20180427,000409.SZ,4.19,4.26,4.07,4.22,0.02,87454.94,36594.868
20180625,000409.SZ,4.01,4.01,4.01,4.01,-0.21,5412.0,2170.212
20180626,000409.SZ,3.81,3.81,3.81,3.81,-0.2,1511.0,575.691
20180627,000409.SZ,3.62,3.62,3.62,3.62,-0.19,3471.0,1256.502
20180628,000409.SZ,3.44,3.44,3.44,3.44,-0.18,4206.0,1446.864
20180629,000409.SZ,3.27,3.27,3.27,3.27,-0.17,5515.0,1803.405
20180713,000409.SZ,3.11,3.42,3.11,3.27,0.0,173004.8,55277.952
20180716,000409.SZ,3.16,3.21,3.12,3.16,-0.11,79406.61,25063.825
20180717,000409.SZ,3.15,3.19,3.11,3.14,-0.02,39170.61,12272.133
20180718,000409.SZ,3.14,3.17,2.98,3.14,0.0,103697.8,31781.074
20180719,000409.SZ,3.11,3.11,3.0,3.02,-0.12,39877.83,12173.408
20180720,000409.SZ,2.99,3.11,2.93,3.07,0.05,55890.77,16947.809
20180723,000409.SZ,3.08,3.12,3.05,3.07,0.0,35937.38,11077.15
20180724,000409.SZ,3.08,3.17,3.05,3.15,0.08,49058.18,15251.193
20180725,000409.SZ,3.25,3.31,3.15,3.31,0.16,49400.86,16077.41
20180726,000409.SZ,3.48,3.48,3.35,3.36,0.05,59416.17,20389.579
20180727,000409.SZ,3.4,3.53,3.36,3.53,0.17,75069.6,26287.891
20180730,000409.SZ,3.63,3.71,3.51,3.71,0.18,85255.95,31210.352
20180731,000409.SZ,3.78,3.9,3.63,3.9,0.19,89367.13,34362.609
20180801,000409.SZ,3.9,4.1,3.86,4.1,0.2,48652.6,19689.945
20180802,000409.SZ,4.31,4.31,4.31,4.31,0.21,13189.78,5684.795
20180803,000409.SZ,4.53,4.53,4.53,4.53,0.22,3594.52,1628.317
20180806,000409.SZ,4.7,4.7,4.3,4.3,-0.23,84028.36,37073.886
20180807,000409.SZ,4.09,4.3,4.09,4.09,-0.21,97230.56,40051.586
20180808,000409.SZ,4.0,4.29,3.94,4.29,0.2,48042.65,19914.631
20180809,000409.SZ,4.5,4.5,4.23,4.35,0.06,93720.29,41062.52
20180810,000409.SZ,4.2,4.41,4.2,4.27,-0.08,34781.46,14918.692
20180813,000409.SZ,4.18,4.48,4.18,4.38,0.11,46471.04,20457.795
20180814,000409.SZ,4.38,4.42,4.3,4.3,-0.08,29361.57,12771.153
20180815,000409.SZ,4.3,4.38,4.09,4.23,-0.07,51279.41,21492.524
20180816,000409.SZ,4.16,4.23,4.03,4.08,-0.15,22939.61,9483.435
20180817,000409.SZ,4.28,4.28,4.2,4.21,0.13,48350.89,20586.194
20180820,000409.SZ,4.15,4.35,4.15,4.31,0.1,32272.97,13805.626
20180821,000409.SZ,4.38,4.39,4.28,4.31,0.0,27501.48,11830.718
20180822,000409.SZ,4.29,4.35,4.24,4.26,-0.05,17935.63,7670.759
20180823,000409.SZ,4.24,4.3,4.09,4.2,-0.06,21462.12,9006.914
20180824,000409.SZ,4.18,4.18,4.08,4.11,-0.09,14757.22,6094.018
20180827,000409.SZ,4.13,4.27,4.08,4.1,-0.01,26392.93,10958.223
20180828,000409.SZ,4.1,4.15,4.0,4.07,-0.03,27558.58,11165.624
20180829,000409.SZ,4.06,4.12,4.02,4.07,0.0,13137.38,5354.506
20180830,000409.SZ,4.04,4.27,4.03,4.27,0.2,44296.67,18825.449
20180831,000409.SZ,4.22,4.48,4.22,4.33,0.06,95872.57,42394.776
20180903,000409.SZ,4.11,4.25,4.11,4.16,-0.17,54516.84,22576.865
20180904,000409.SZ,4.14,4.23,4.14,4.18,0.02,19349.39,8079.67
20180905,000409.SZ,4.16,4.33,4.16,4.25,0.07,30606.91,13081.667
