date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2019-03-31,000001.SZ,12.26,12.82,12.21,12.82,0.6,1669506.47,2108295.393,13.0679,,8.8696,15.1515,1.0608
2019-03-31,000002.SZ,28.8,30.75,28.75,30.72,1.92,970329.93,2903231.426,5.5675,1.1594,10.0413,25.9259,2.9297
2019-03-31,000005.SZ,3.68,3.78,3.62,3.77,0.09,255442.91,95353.115,0.8908,1.1794,104.8698,-209.8039,0.0
2019-03-31,000006.SZ,6.59,6.81,6.52,6.75,0.2,342032.85,229279.563,1.1146,1.9436,10.2942,-61.2736,2.6815
2019-03-31,000007.SZ,7.01,7.25,6.9,7.25,0.22,98950.11,70350.036,0.9509,3.1546,,250.0,0.0
2019-03-31,000008.SZ,4.5,4.65,4.49,4.62,0.12,612127.17,281372.377,0.4174,2.0225,14.6756,13.5135,1.0969
2019-03-31,000009.SZ,6.53,6.72,6.32,6.71,0.2,571424.02,375271.123,1.9128,1.6597,280.9469,50.0,0.2981
2019-03-31,000010.SZ,3.42,3.51,3.37,3.49,0.06,58129.38,20111.634,3.1288,1.1253,,106.162,0.0
2019-03-31,000011.SZ,11.25,11.72,11.17,11.67,0.34,107718.58,124221.229,1.4215,2.6818,36.4169,46.7113,2.5707
2019-03-31,000012.SZ,5.42,5.56,5.33,5.54,0.15,185752.81,101587.937,0.9849,0.8344,27.1855,-16.6667,0.7821
2019-03-31,000014.SZ,11.98,12.34,11.74,12.33,0.31,159195.3,192539.41,1.1242,1.8784,456.4927,-314.7436,0.0811
2019-03-31,000016.SZ,5.42,5.7,5.35,5.59,0.17,418808.53,231437.318,2.769,1.0495,2.5122,53.0172,2.898
2019-03-31,000017.SZ,5.25,5.42,5.23,5.38,0.14,114161.9,61011.104,3.2858,1.1905,745.7063,-275.0,0.0
2019-03-31,000019.SZ,8.25,8.41,8.16,8.38,0.14,87159.3,72529.456,0.4158,3.4418,,-3.0387,0.0
2019-03-31,000020.SZ,12.23,12.79,12.21,12.5,0.31,27192.6,33887.913,0.7877,1.103,3150.3943,-18.1818,0.0
2019-03-31,000021.SZ,8.96,9.5,8.78,9.38,0.32,825263.93,758341.65,1.4009,1.1205,26.8945,21.5146,0.533
2019-03-31,000023.SZ,15.33,15.69,15.21,15.69,0.35,31437.09,48692.653,3.2349,1.1587,298.7859,405.9829,0.3187
2019-03-31,000025.SZ,31.49,32.88,31.47,32.54,0.79,45576.07,147160.613,0.456,1.386,155.7772,11.8081,0.0
