date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2015-09-30,000001.SZ,10.4,10.59,10.39,10.49,0.11,364659.73,383230.18,15.5402,,7.0419,11.4035,1.0149
2015-09-30,000002.SZ,12.67,12.81,12.57,12.73,0.13,489518.62,619877.2056,3.7124,1.2933,8.912,5.0847,3.2095
2015-09-30,000004.SZ,25.53,25.8,25.0,25.36,-0.12,17538.0,44538.432,1.1883,1.7443,219.1009,142.6848,0.0
2015-09-30,000005.SZ,6.21,6.28,6.15,6.18,0.03,114389.81,71006.9686,1.0888,0.3418,125.0257,5.7143,0.0
2015-09-30,000006.SZ,9.4,9.49,9.2,9.4,0.07,116903.14,109592.2481,1.8523,2.4097,17.6994,15.5493,1.6489
2015-09-30,000008.SZ,8.32,8.53,8.19,8.3,0.21,159701.04,133284.4153,0.1927,2.8066,289.4007,24.2236,0.0
2015-09-30,000009.SZ,10.7,10.76,10.43,10.59,0.1,339419.69,359822.1226,1.5721,1.8825,87.9746,160.3659,0.2232
2015-09-30,000010.SZ,6.14,6.24,6.1,6.17,0.08,82995.27,51174.4744,2.4411,0.5193,,120.0,
2015-09-30,000011.SZ,10.39,10.52,10.06,10.27,-0.02,51399.72,53076.5122,1.0189,1.8456,18.1846,-85.6326,2.4343
2015-09-30,000012.SZ,9.2,9.33,8.78,8.88,-0.27,374670.41,336104.1269,0.976,0.385,37.5941,-47.2222,3.3784
2015-09-30,000014.SZ,16.18,16.29,15.91,16.1,0.08,37737.4,60875.6545,1.9801,2.7378,64.4709,-107.4242,0.0932
2015-09-30,000016.SZ,5.5,5.65,5.3,5.35,-0.18,1231815.39,670100.7089,3.6981,1.0628,,-1887.3737,0.0935
2015-09-30,000017.SZ,8.25,8.42,8.2,8.27,0.06,33979.0,28271.7515,3.7641,1.1726,1330.4286,-83.6066,0.0
2015-09-30,000019.SZ,8.64,8.81,8.58,8.7,0.13,39133.19,34050.4977,0.1102,5.2055,62.3318,75.7333,0.0
2015-09-30,000020.SZ,13.05,13.23,12.89,13.06,0.06,13956.4,18258.39,2.8691,2.9668,181.1988,1917.1429,0.0
2015-09-30,000021.SZ,8.0,8.05,7.9,7.92,-0.04,116599.68,92862.028,1.9193,1.145,36.0804,4.0349,0.6313
2015-09-30,000026.SZ,9.99,10.29,9.75,10.14,0.23,79875.87,80216.3428,1.2548,1.6947,30.538,-16.1051,0.9862
2015-09-30,000027.SZ,9.16,9.24,9.06,9.12,0.03,143147.91,130977.4655,0.9579,0.8309,17.8369,3.0872,1.8275
2015-09-30,000028.SZ,55.9,56.58,55.11,56.42,0.31,11421.22,63937.7718,1.6622,1.4422,29.6259,5.7448,0.2418
2015-09-30,000029.SZ,12.37,12.49,11.8,12.02,-0.19,173834.87,210906.8013,1.1208,2.0199,27.0401,310.8348,0.0
2015-09-30,000030.SZ,7.76,7.82,7.63,7.74,0.19,74659.95,57700.0584,0.4835,2.0387,17.0691,-24.3243,1.292
2015-09-30,000031.SZ,12.01,12.14,11.68,11.9,0.0,426816.18,509348.4665,3.9556,1.7608,32.8073,233.3333,0.2521
2015-09-30,000032.SZ,15.1,15.29,14.85,14.93,-0.14,29830.55,44852.2755,0.2936,2.7182,123.0215,260.0,0.2009
2015-09-30,000034.SZ,11.89,12.5,11.48,11.49,-0.4,227195.3,271598.2534,1.3179,0.9018,125.9968,-51.634,0.0
2015-09-30,000035.SZ,13.04,13.18,12.8,12.82,-0.23,41807.41,54143.6555,1.3271,0.6507,43.7956,-23.0769,0.0
2015-09-30,000036.SZ,6.2,6.29,6.15,6.21,0.04,104585.38,64927.5671,1.1948,5.5807,404.897,-500.0,0.0
2015-09-30,000037.SZ,6.87,7.03,6.8,6.9,0.06,29320.56,20303.1325,3.0722,0.9885,,20.0,0.0
2015-09-30,000039.SZ,17.2,17.29,17.04,17.17,0.12,93670.36,160917.5204,2.313,0.8802,15.5952,5.8166,1.5415
2015-09-30,000042.SZ,13.66,13.91,13.33,13.9,0.3,46215.69,63295.5096,5.7268,1.6642,15.3069,34.9099,1.0586
2015-09-30,000045.SZ,9.14,9.19,9.03,9.1,0.06,49156.94,44755.026,0.301,3.7453,,112.5,0.0
2015-09-30,000049.SZ,38.6,39.15,38.02,38.08,0.19,16599.06,64051.9325,2.5437,1.2758,29.7418,20.0342,0.3501
2015-09-30,000050.SZ,14.11,14.29,13.66,13.89,-0.31,143591.35,200485.275,0.9565,1.4958,19.9353,-25.3743,0.3653
2015-09-30,000055.SZ,6.8,6.83,6.7,6.8,0.08,46406.13,31407.5192,2.3273,1.1977,47.8584,21.7949,0.4412
2015-09-30,000056.SZ,23.51,23.8,22.81,23.2,-0.37,26930.3,62630.2769,0.5997,0.5044,,109.0909,0.0
2015-09-30,000058.SZ,8.43,8.51,8.28,8.4,0.04,86177.11,72404.6338,0.57,1.4741,144.4397,-9.0909,0.0
2015-09-30,000059.SZ,6.65,6.75,6.56,6.69,-0.01,108693.5,72592.9977,2.2924,0.5911,,105.2437,0.0
2015-09-30,000060.SZ,9.4,9.48,9.28,9.39,0.06,218315.46,205148.3624,0.9974,0.7946,43.9857,-75.0,0.2979
2015-09-30,000061.SZ,14.46,14.71,14.33,14.33,-0.17,95075.2,137591.2992,1.4672,0.476,247.5426,-22.6629,0.3489
2015-09-30,000062.SZ,30.0,30.35,29.01,29.28,-0.43,50811.8,150486.8185,0.5907,1.7454,66.5577,-48.2919,1.0246
2015-09-30,000063.SZ,15.65,15.81,15.47,15.6,0.07,239590.6,374619.6416,2.2242,1.3228,19.4902,43.1818,0.1603
2015-09-30,000065.SZ,23.66,24.68,23.66,24.3,0.64,28948.51,70351.2015,2.0557,1.2965,32.7044,-29.0909,0.2534
2015-09-30,000068.SZ,9.95,9.95,9.48,9.72,0.0,153086.8,148612.6107,0.0423,13.258,,55.3498,
2015-09-30,000069.SZ,7.03,7.16,6.99,7.11,0.11,297025.21,210310.3898,2.0431,1.5914,12.0918,-11.4729,0.9845
2015-09-30,000070.SZ,22.61,23.1,21.47,21.71,-1.81,185053.16,409148.0289,1.1618,1.4044,87.2411,16.3095,0.1382
2015-09-30,000078.SZ,12.85,13.3,12.6,13.02,0.22,219267.52,285838.5596,4.6029,1.1026,376.9378,541.6216,0.0
2015-09-30,000088.SZ,7.35,7.43,7.16,7.26,-0.1,176114.28,128195.6902,0.2739,5.0591,37.8719,7.5408,0.4545
2015-09-30,000089.SZ,6.4,6.43,6.3,6.37,0.01,151292.11,96427.5476,0.2568,1.1247,36.4388,60.531,0.3861
