date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2010-09-30,000002.SZ,7.73,8.4,7.64,8.4,0.59,1879535.63,1530230.2443,2.8092,1.6524,16.4404,10.7807,0.5952
2010-09-30,000004.SZ,11.4,11.45,11.3,11.39,-0.06,8151.62,9256.8949,0.4717,2.0242,136.4589,547.2222,0.0
2010-09-30,000005.SZ,4.2,4.42,4.15,4.37,0.1,96000.09,41637.8857,0.9244,0.3005,,-123.0769,0.0
2010-09-30,000006.SZ,7.08,7.54,7.06,7.39,0.16,190283.14,140396.9693,2.7013,2.0043,17.7509,-24.1228,0.7217
2010-09-30,000007.SZ,8.2,8.3,8.06,8.28,0.01,33444.35,27430.7283,,0.1756,,-109.6321,0.0
2010-09-30,000008.SZ,12.98,13.21,12.82,13.18,0.2,8400.72,10987.1675,0.0563,10.8023,1477.1377,200.0,0.0
2010-09-30,000009.SZ,11.6,12.06,11.38,11.95,0.22,205733.7,242598.645,1.6097,2.2097,44.7541,31.0734,0.2391
2010-09-30,000011.SZ,8.0,8.39,7.9,8.32,0.15,53658.64,44078.9737,2.6283,1.5858,42.2402,-15.6192,0.1224
2010-09-30,000012.SZ,15.44,15.85,15.3,15.8,0.23,223086.47,348959.1612,0.834,0.4178,27.1909,6.383,0.3733
2010-09-30,000014.SZ,10.51,11.07,10.3,10.8,0.22,48923.25,52928.8405,2.045,1.6083,19.1092,-30.2758,0.2778
2010-09-30,000016.SZ,5.89,5.95,5.75,5.85,-0.2,483760.42,282620.853,2.3607,1.243,57.8915,-42.6637,0.8547
2010-09-30,000017.SZ,6.5,6.79,6.5,6.73,0.14,26476.32,17821.257,,0.0478,,27.8964,0.0
2010-09-30,000019.SZ,9.83,10.26,9.73,10.13,0.16,52629.73,52323.246,0.8726,0.9629,,-515.9864,
2010-09-30,000020.SZ,10.22,10.42,10.1,10.18,-0.14,31675.16,32374.4719,2.1432,1.4693,167.8763,64.986,0.0
2010-09-30,000021.SZ,15.1,15.7,15.05,15.62,0.24,194489.76,300660.348,0.5185,1.9544,61.277,58.5851,0.6402
2010-09-30,000023.SZ,8.05,8.28,8.0,8.16,0.07,21919.39,17915.4648,2.0559,0.9903,48.8546,5.8824,1.3431
2010-09-30,000025.SZ,9.8,9.97,9.69,9.9,0.09,9551.38,9394.0021,2.026,0.633,471.42,-33.3333,0.0
2010-09-30,000026.SZ,14.88,15.17,14.73,15.06,0.19,14341.95,21477.898,1.2435,1.4145,44.0181,43.2292,0.664
2010-09-30,000027.SZ,10.13,10.38,10.13,10.32,0.19,51899.83,53414.9398,0.8222,1.1235,12.4197,-22.7848,0.969
2010-09-30,000028.SZ,36.77,38.6,36.25,37.9,1.1,10378.53,39341.4625,4.78,1.0423,50.6649,25.8383,0.2639
2010-09-30,000029.SZ,5.14,5.37,5.06,5.3,0.15,60159.41,31775.8716,1.6324,2.5899,69.9672,586.4865,0.0
