date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2008-06-30,000001.SZ,19.03,19.7,19.02,19.33,-0.11,187489.59,361839.8384,25.0766,,14.2134,72.2222,0.0286
2008-06-30,000002.SZ,8.93,9.15,8.85,9.01,-0.03,627681.79,565379.7009,2.1014,1.7549,20.0134,20.6452,0.6573
2008-06-30,000004.SZ,4.8,4.8,4.62,4.74,-0.11,2552.76,1203.486,0.7334,1.5551,,54.8889,0.0
2008-06-30,000005.SZ,3.75,3.94,3.67,3.82,0.02,94824.64,36225.5257,0.9247,0.3276,70.9283,-92.5,0.0
2008-06-30,000006.SZ,7.68,7.96,7.43,7.7,-0.08,50846.01,39198.701,2.3903,3.3547,8.3364,49.1961,2.2727
2008-06-30,000007.SZ,7.77,7.79,7.61,7.61,-0.4,17702.0,13504.001,,0.4273,120.0338,6.6972,0.0
2008-06-30,000008.SZ,5.31,5.36,5.31,5.31,-0.28,5344.0,2837.743,0.0674,8.4694,417.7471,-77.8523,0.0
2008-06-30,000009.SZ,4.8,5.04,4.78,4.87,-0.44,221522.48,107717.6963,1.5096,1.4528,18.405,31.8182,0.0
2008-06-30,000010.SZ,9.94,9.94,9.94,9.94,-0.52,59.0,58.646,1.6697,1.1269,,66.6667,0.0
2008-06-30,000011.SZ,6.0,6.2,5.71,6.03,0.04,4625.82,2803.021,2.7557,1.6106,,79.7203,0.0
2008-06-30,000012.SZ,14.4,14.85,14.25,14.81,0.31,19082.12,27943.0319,1.1145,0.5394,30.6481,133.3333,2.3296
2008-06-30,000014.SZ,14.25,15.49,14.2,15.08,0.68,17778.12,26757.6431,2.732,1.8997,,-445.8678,0.0398
2008-06-30,000016.SZ,3.69,3.8,3.64,3.75,0.03,65471.02,24406.592,1.2739,1.4806,19.811,89.5184,1.3333
2008-06-30,000019.SZ,10.38,10.97,10.26,10.63,0.06,5423.89,5748.8643,0.3824,1.2278,44.4026,-53.2819,0.0
2008-06-30,000021.SZ,6.67,6.81,6.5,6.69,0.02,21402.87,14242.2037,0.368,2.49,14.6481,-71.3664,5.9791
2008-06-30,000023.SZ,4.9,4.9,4.65,4.8,0.01,4152.25,1997.9445,2.0798,1.1688,,-81.8182,0.2083
2008-06-30,000025.SZ,5.35,5.6,5.27,5.55,0.08,4296.39,2342.5897,2.9825,0.5881,109.5107,-250.0,0.0
2008-06-30,000026.SZ,8.3,8.52,8.25,8.5,0.2,12584.8,10563.4122,1.1093,1.3574,33.0801,42.29,0.0
2008-06-30,000027.SZ,8.39,8.58,8.23,8.35,-0.13,35119.56,29467.4809,1.169,0.8934,11.0478,-51.1111,2.2885
2008-06-30,000028.SZ,16.29,16.46,15.8,16.35,0.05,1776.86,2868.2854,4.7746,1.0561,34.4288,27.8846,0.5505
2008-06-30,000029.SZ,3.79,4.0,3.7,3.88,0.09,32780.21,12714.4614,0.8956,1.882,96.5544,42.268,0.0
2008-06-30,000031.SZ,10.81,11.2,10.69,11.18,-0.52,62525.84,68712.5856,0.813,2.02,20.9173,-71.7949,0.0
2008-06-30,000032.SZ,6.98,7.24,6.87,7.06,-0.57,21650.62,15229.6986,0.834,1.5772,12.1355,190.0,1.7705
2008-06-30,000035.SZ,4.69,4.95,4.68,4.83,-0.1,16450.4,7782.0181,,0.0226,4.4057,464.7799,0.0
2008-06-30,000036.SZ,3.45,3.58,3.35,3.52,0.01,45443.69,15853.2053,0.7787,2.7905,,-270.8185,0.0
2008-06-30,000037.SZ,5.6,5.88,5.55,5.55,-0.2,10515.0,5979.4315,2.3033,0.5433,19.4539,17.0213,0.0
2008-06-30,000039.SZ,10.73,10.93,10.6,10.82,-0.02,53681.92,57748.3072,1.7057,1.5097,9.6272,-22.5352,3.3118
