date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2011-12-31,000001.SZ,15.35,15.59,15.3,15.59,0.28,261487.36,402708.8626,15.691,,8.647,30.0,0.0
2011-12-31,000002.SZ,7.33,7.52,7.33,7.47,0.14,306571.74,229057.738,3.3668,1.4081,10.8142,33.3333,0.9371
2011-12-31,000004.SZ,8.06,8.13,8.04,8.09,0.11,5959.65,4811.0335,0.4183,1.9219,253.4853,-74.2775,0.0
2011-12-31,000006.SZ,4.05,4.14,4.05,4.1,0.06,12108.62,4957.3826,1.8806,1.3927,6.4964,-9.8788,1.5009
2011-12-31,000007.SZ,6.58,6.58,6.58,6.58,0.31,2032.01,1337.0626,0.2398,2.0805,87.6033,-55.1667,0.0
2011-12-31,000008.SZ,6.88,7.0,6.77,6.97,0.17,2094.87,1454.0412,0.0457,13.6174,1422.4255,-160.3306,0.0
2011-12-31,000009.SZ,10.71,11.6,10.71,10.9,0.23,227007.78,248977.8252,1.8604,1.8372,39.2352,-16.6667,0.3211
2011-12-31,000011.SZ,6.17,6.24,6.11,6.17,0.08,35057.96,21710.5182,2.094,1.2624,10.6209,48.2759,0.0
2011-12-31,000012.SZ,9.18,9.18,8.9,9.06,-0.1,455288.98,411492.1903,1.0916,0.6493,12.3427,-18.5714,2.2772
2011-12-31,000014.SZ,4.76,4.93,4.76,4.9,0.13,6155.1,2995.0874,1.9745,2.5092,26.1516,-23.0857,0.6122
2011-12-31,000016.SZ,3.1,3.2,3.1,3.16,0.05,30306.44,9560.9403,2.9905,1.1733,,-70.3013,0.3165
2011-12-31,000017.SZ,2.67,2.78,2.67,2.73,0.07,19776.66,5385.6188,,0.0427,10.1869,-38.4089,0.0
2011-12-31,000019.SZ,7.61,7.78,7.6,7.72,0.18,5376.14,4130.1023,0.1934,3.7398,32.4838,7.309,0.0
2011-12-31,000020.SZ,5.27,5.3,5.2,5.27,0.07,3754.3,1968.9761,1.4135,1.7647,952.7999,12.963,0.0
2011-12-31,000021.SZ,5.06,5.16,5.06,5.13,0.1,35994.1,18424.6888,1.3924,1.2666,22.1435,-34.5692,2.5991
2011-12-31,000023.SZ,5.62,5.75,5.62,5.7,0.09,6168.25,3511.3336,2.1676,1.1535,234.2488,-29.5359,0.7877
2011-12-31,000025.SZ,5.55,5.67,5.55,5.64,0.09,2680.47,1506.4683,1.8339,0.4311,1191.0352,-39.8773,0.0
2011-12-31,000026.SZ,13.07,13.7,13.06,13.1,-0.02,9485.37,12748.3585,1.0777,1.5336,31.5933,50.9294,0.4686
2011-12-31,000027.SZ,6.06,6.13,6.06,6.1,0.03,16748.66,10239.4885,0.8621,1.0576,15.3962,-18.8679,4.0984
2011-12-31,000028.SZ,21.02,21.85,20.86,21.35,0.2,15901.63,33575.6329,4.3727,1.0737,19.014,26.3736,0.4684
2011-12-31,000029.SZ,3.19,3.29,3.19,3.26,0.07,12075.94,3920.9533,1.311,1.6886,34.9658,19.3317,0.0
2011-12-31,000030.SZ,7.68,7.91,7.61,7.8,0.21,41303.37,32239.9351,31.4108,1.0318,2.0764,474.5104,0.0
2011-12-31,000031.SZ,3.78,3.83,3.72,3.8,0.03,68726.62,26012.9766,3.5804,1.5507,15.306,-28.125,0.5263
2011-12-31,000032.SZ,5.53,5.75,5.52,5.75,0.24,4094.42,2291.0192,0.8105,1.3934,67.3259,33.3333,1.7391
2011-12-31,000034.SZ,3.87,3.91,3.82,3.91,0.07,9980.35,3874.4042,1.4338,1.2419,43.909,-96.4029,0.0
2011-12-31,000036.SZ,2.45,2.51,2.45,2.47,0.03,35731.0,8876.1702,0.68,2.8425,10.9939,-69.8977,0.0
2011-12-31,000037.SZ,3.57,3.61,3.53,3.58,0.08,7249.27,2583.6728,1.8884,0.8614,,115.7895,
2011-12-31,000039.SZ,12.77,12.92,12.66,12.85,0.13,105923.27,135803.9927,1.9778,1.3038,8.5566,23.0088,0.9339
2011-12-31,000040.SZ,3.38,3.49,3.38,3.45,0.08,22093.61,7563.663,0.9156,1.493,9.3014,42.8571,0.0
2011-12-31,000042.SZ,13.58,13.82,13.58,13.75,0.16,4345.13,5954.2887,1.8267,2.1364,9.4146,-11.8367,1.0909
2011-12-31,000045.SZ,9.16,9.34,8.92,9.31,0.16,100207.83,91645.4915,0.3202,3.4683,67.3633,7.1429,0.0
2011-12-31,000048.SZ,8.15,8.2,8.04,8.07,0.07,6330.85,5128.6264,1.6958,1.0517,,1124.1094,
2011-12-31,000048.SZ,8.15,8.2,8.04,8.07,0.07,6330.85,5128.6264,1.6958,1.0517,,1124.1094,
2011-12-31,000049.SZ,20.7,21.06,20.55,20.81,0.31,9728.83,20226.0955,2.3208,1.2777,31.3095,67.1779,0.0
2011-12-31,000050.SZ,6.15,6.25,6.14,6.22,0.07,39979.78,24788.9232,1.7586,1.0856,70.7158,43.6378,0.0
2011-12-31,000055.SZ,3.86,3.91,3.86,3.9,0.07,15403.74,5988.6132,0.8778,1.3639,45.6418,12.5,0.0
2011-12-31,000056.SZ,13.62,14.79,13.62,13.98,0.5,6362.68,9021.5638,,2.3455,,28.2051,0.0
2011-12-31,000059.SZ,7.64,7.75,7.55,7.6,0.05,64276.97,49000.8117,2.7815,0.6678,9.4816,104.0733,0.5263
2011-12-31,000060.SZ,8.08,8.26,8.08,8.23,0.17,52056.51,42671.2534,1.1079,1.009,16.6165,35.2941,0.1688
2011-12-31,000061.SZ,11.01,11.17,11.0,11.15,0.18,25751.29,28604.6578,1.2976,0.6523,52.9031,-25.333,0.8969
2011-12-31,000062.SZ,5.8,5.89,5.76,5.8,0.01,6796.42,3940.8084,1.6352,2.0858,47.7489,-75.8621,0.8621
2011-12-31,000063.SZ,16.86,17.07,16.48,16.9,0.06,120620.72,202116.7458,3.0081,1.3309,19.6585,-37.7551,0.9589
2011-12-31,000065.SZ,12.28,12.6,12.28,12.47,0.26,1999.42,2488.0872,2.6193,1.3212,34.0972,66.6667,0.6415
2011-12-31,000066.SZ,4.93,4.97,4.89,4.97,0.08,24818.66,12280.5009,2.2086,1.2407,48.6733,-61.0256,0.7109
2011-12-31,000069.SZ,6.99,7.16,6.98,7.14,0.19,169703.69,120551.7797,2.4686,1.6231,13.7731,4.5271,0.7781
2011-12-31,000070.SZ,6.94,7.08,6.94,7.03,0.09,9721.56,6818.0737,0.9827,1.6917,30.8899,-41.3944,0.0
2011-12-31,000078.SZ,6.37,6.45,6.35,6.44,0.12,23857.76,15318.9082,3.9795,1.0029,73.572,12.5874,0.0
2011-12-31,000088.SZ,4.97,5.05,4.95,5.03,0.07,11080.49,5560.7386,0.0835,8.6843,18.1662,3.933,3.6448
2011-12-31,000089.SZ,4.13,4.17,4.11,4.15,0.05,13450.99,5571.3439,0.3356,2.9726,9.9706,-7.9527,0.7184
2011-12-31,000090.SZ,6.79,6.93,6.77,6.85,0.09,24811.17,17014.0215,1.4432,1.2117,17.9529,87.5,0.292
2011-12-31,000096.SZ,4.14,4.2,4.12,4.18,0.05,7516.33,3130.987,0.0973,5.2332,36.435,12.5,0.0
2011-12-31,000099.SZ,7.16,7.26,7.15,7.25,0.15,16078.4,11596.6421,0.5632,2.6631,28.3277,12.8965,0.6897
2011-12-31,000100.SZ,1.83,1.84,1.82,1.84,0.01,637512.33,116736.2233,2.8383,1.2655,14.6716,92.1222,0.0
2011-12-31,000151.SZ,8.5,8.69,8.5,8.6,0.13,37852.38,32469.7868,0.3753,2.5659,4670.1711,-237.037,0.814
2011-12-31,000153.SZ,6.02,6.1,5.86,6.06,0.04,14774.17,8961.7862,0.7226,1.0232,74.0712,-76.2024,0.0
2011-12-31,000155.SZ,4.24,4.33,4.24,4.29,0.04,8600.38,3693.7278,1.0968,0.4681,,2.2222,1.1655
2011-12-31,000157.SZ,7.65,7.76,7.61,7.69,0.09,207311.98,159347.8922,1.0088,1.8391,7.9003,40.0,1.7153
2011-12-31,000158.SZ,3.93,4.01,3.93,3.99,0.07,15753.72,6252.9332,1.1911,0.9766,57.9364,0.0,0.0
