date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2021-06-30,000001.SZ,22.36,22.93,22.35,22.62,0.28,403435.46,913285.187,11.5228,,14.3865,21.2121,0.9637
2021-06-30,000002.SZ,23.82,23.92,23.5,23.81,0.01,498882.63,1183027.397,4.3751,1.1821,6.6561,-14.4144,4.2697
2021-06-30,000004.SZ,18.44,18.83,18.31,18.56,-0.25,46573.99,86376.273,0.0637,5.7971,47.0518,136.5385,0.0
2021-06-30,000005.SZ,1.89,1.91,1.86,1.88,-0.01,59032.0,11091.696,0.5912,1.4878,,700.6579,0.0
2021-06-30,000006.SZ,5.05,5.05,4.99,5.01,-0.03,45579.34,22838.203,1.3502,2.3965,6.7227,78.4606,3.5729
2021-06-30,000007.SZ,4.16,4.16,4.04,4.11,-0.04,56382.5,23118.215,4.7849,1.2535,,92.3256,0.0
2021-06-30,000008.SZ,2.23,2.23,2.21,2.22,-0.01,97628.71,21682.842,0.9555,1.1856,,52.2232,0.44
2021-06-30,000009.SZ,18.0,18.85,17.38,18.27,-0.12,846922.97,1539324.618,1.3325,1.7204,58.0436,402.4762,0.1095
2021-06-30,000010.SZ,4.1,4.1,3.99,4.0,-0.05,52327.0,21051.872,3.4767,1.0674,61.7463,-10.1852,0.0
2021-06-30,000011.SZ,12.3,12.42,12.1,12.16,-0.14,37479.0,45668.12,2.1592,2.1203,8.4173,219.061,2.9605
2021-06-30,000012.SZ,10.3,10.33,9.98,10.24,0.05,312024.42,317008.855,0.5896,1.6619,25.3311,238.4615,0.6836
2021-06-30,000014.SZ,7.81,7.82,7.7,7.75,-0.03,8391.0,6517.446,1.7193,1.6521,,-191.8033,0.1419
2021-06-30,000016.SZ,6.47,6.75,6.42,6.66,0.18,273743.68,180870.868,3.8753,0.8914,20.7986,-9.6692,0.7508
2021-06-30,000017.SZ,3.48,3.65,3.45,3.53,0.05,117288.97,41612.664,2.4719,1.3222,467.1541,-50.9804,0.0
2021-06-30,000019.SZ,7.32,7.34,7.21,7.28,-0.02,40595.82,29468.535,0.8782,1.7648,18.313,15.7549,2.7473
2021-06-30,000020.SZ,9.71,9.88,9.7,9.81,0.12,9602.33,9410.013,0.9618,1.4594,217.0595,121.4286,0.0
2021-06-30,000021.SZ,18.6,19.39,18.5,19.14,0.62,525394.03,1001314.709,1.2887,1.426,30.6078,39.4939,0.2955
2021-06-30,000023.SZ,14.98,15.16,14.85,14.99,0.08,2151.0,3218.655,2.4639,1.1661,268.7381,135.2183,0.0667
2021-06-30,000025.SZ,15.15,15.21,14.85,14.88,-0.17,27407.76,41005.975,0.256,2.1718,86.5068,73.9057,0.2823
2021-06-30,000026.SZ,13.58,14.13,13.43,13.92,0.3,69392.37,96036.982,0.4439,2.4242,14.2551,205.4085,1.408
2021-06-30,000027.SZ,9.43,9.43,9.06,9.17,-0.16,761290.05,698769.561,1.4668,1.1199,10.2761,-41.4601,0.4544
2021-06-30,000028.SZ,37.72,38.0,37.61,37.84,-0.01,12695.32,48046.585,1.5269,1.3676,10.9322,15.3333,1.5856
2021-06-30,000029.SZ,7.61,7.61,7.52,7.57,0.03,34357.86,25979.644,0.5005,2.6469,21.8711,36.0707,2.1797
2021-06-30,000030.SZ,6.33,6.41,6.26,6.37,0.02,39681.23,25103.953,0.829,1.4528,11.5139,14.1144,2.5644
2021-06-30,000031.SZ,3.63,3.65,3.58,3.6,-0.03,72184.92,26049.97,3.3227,1.5248,,7.6923,4.7222
2021-06-30,000032.SZ,18.8,19.1,18.8,19.03,0.15,6112.04,11582.807,4.0913,1.1959,135.0696,94.7368,0.1622
2021-06-30,000034.SZ,20.76,22.54,20.69,21.85,1.01,544908.35,1186062.034,4.9669,1.0689,21.7969,-154.7321,0.9522
2021-06-30,000035.SZ,4.55,4.62,4.53,4.56,0.01,40756.25,18582.712,3.2647,0.7972,17.2301,14.5051,0.0
2021-06-30,000036.SZ,4.7,5.07,4.61,4.66,0.05,1104702.74,536450.863,0.8219,2.6657,20.1203,-70.0,8.5837
2021-06-30,000037.SZ,8.44,8.54,8.42,8.48,0.05,26630.0,22548.051,0.5363,1.9543,78.6755,-97.6744,0.2358
2021-06-30,000039.SZ,18.08,18.5,17.7,18.18,0.11,224813.52,407992.711,1.7518,1.1573,8.7162,1487.9905,0.6562
2021-06-30,000040.SZ,2.8,2.85,2.78,2.81,0.02,327526.71,92102.664,1.2032,1.1777,,30.1587,0.0
2021-06-30,000042.SZ,8.41,8.48,8.41,8.43,-0.03,2791.0,2358.774,4.0758,1.9131,24.2513,78.7243,1.4235
2021-06-30,000045.SZ,8.6,9.18,8.59,8.97,0.38,103436.5,92243.489,0.2977,4.7439,52.9105,10678.5714,0.0
2021-06-30,000048.SZ,18.46,18.66,18.35,18.45,-0.11,11783.96,21806.885,2.4061,0.9407,7.96,254.4524,3.127
2021-06-30,000049.SZ,45.19,46.0,44.21,45.9,0.43,71359.3,321624.909,1.7392,1.3633,18.2094,54.7545,1.0518
2021-06-30,000050.SZ,14.06,14.29,14.06,14.18,0.09,115000.78,163167.663,1.2534,0.8041,20.6003,33.8377,0.4701
2021-06-30,000055.SZ,4.63,4.72,4.53,4.65,0.01,167507.31,77850.426,1.0937,1.3941,13.778,-23.0769,1.0753
2021-06-30,000056.SZ,2.71,2.74,2.66,2.7,0.0,107437.0,28889.128,1.5227,0.2392,,-200.0,0.0
