date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2022-03-31,000001.SZ,15.1,15.57,15.06,15.38,0.17,1163746.74,1789209.946,11.6004,,8.214,33.3333,1.1704
2022-03-31,000002.SZ,18.3,20.15,18.28,19.15,0.17,3349399.75,6411092.608,3.9512,1.2338,9.8839,10.5216,6.5274
2022-03-31,000004.SZ,20.41,20.5,20.0,20.01,-0.57,47576.03,96393.135,0.1552,4.1794,76.288,-410.0,0.0
2022-03-31,000005.SZ,2.23,2.26,2.2,2.26,0.02,83784.12,18679.367,0.6035,1.5188,,-81.0127,0.0
2022-03-31,000006.SZ,5.27,5.66,5.1,5.15,-0.01,1481913.02,794884.254,1.8567,2.1962,7.5881,-83.5088,3.7476
2022-03-31,000007.SZ,6.21,6.42,6.21,6.33,0.08,58261.06,36803.998,2.8824,1.5075,,-245.9459,0.0
2022-03-31,000008.SZ,2.57,2.58,2.52,2.54,-0.06,400859.77,102091.556,1.2633,1.1046,,40.3785,0.0
2022-03-31,000009.SZ,11.83,11.84,11.15,11.19,-0.61,857675.14,973809.133,1.5221,1.468,27.8693,-13.2791,0.2681
2022-03-31,000010.SZ,3.4,3.48,3.37,3.41,0.03,107485.0,36831.138,3.8818,1.0129,78.8296,26.3158,0.0
2022-03-31,000011.SZ,12.17,13.55,12.08,12.96,0.64,384439.48,495523.551,2.195,2.0329,7.6933,2.6485,3.1636
2022-03-31,000012.SZ,7.42,7.52,7.35,7.42,0.0,190794.97,141855.406,0.6902,1.1312,14.5836,-36.8421,1.3477
2022-03-31,000014.SZ,12.22,12.22,11.74,12.22,1.11,142554.16,173648.666,1.4227,1.7173,69.5819,260.0,0.0655
2022-03-31,000016.SZ,5.36,5.54,5.33,5.49,0.16,144371.63,79007.184,2.8843,0.954,14.6016,42.7152,1.8215
2022-03-31,000017.SZ,3.37,3.39,3.34,3.36,0.0,37207.32,12527.174,3.3782,1.2311,3993.3645,-300.0,0.0
2022-03-31,000019.SZ,8.42,8.87,8.35,8.52,-0.33,538824.08,460919.483,0.5779,2.287,25.076,0.9314,2.3474
2022-03-31,000020.SZ,9.04,9.16,8.94,9.08,0.12,13309.0,12054.197,0.7838,1.6221,253.4778,6.0914,0.0
2022-03-31,000021.SZ,11.45,11.47,11.3,11.34,-0.11,57143.51,64932.819,1.3863,1.1769,19.0681,14.1176,1.4109
2022-03-31,000023.SZ,11.95,13.24,11.95,13.24,1.2,42971.07,55250.259,2.6998,1.0322,,-919.0,0.0
2022-03-31,000025.SZ,14.27,15.23,14.22,14.76,0.45,124382.87,184816.843,0.2694,2.731,72.2904,55.8648,0.1355
2022-03-31,000026.SZ,9.6,9.78,9.58,9.72,0.09,28805.0,27955.902,0.3264,3.0431,10.6776,-25.0719,4.2078
2022-03-31,000027.SZ,6.49,6.55,6.42,6.43,-0.06,122152.34,79097.109,1.5513,1.1322,13.406,-34.5016,4.0435
2022-03-31,000028.SZ,33.4,34.95,33.17,33.88,0.4,57749.33,197449.84,1.4482,1.3969,10.8535,-23.3766,2.3613
2022-03-31,000029.SZ,8.5,9.52,8.5,8.98,0.28,235687.32,210880.979,0.305,3.7157,41.1377,84.3678,0.9688
2022-03-31,000030.SZ,5.48,5.5,5.42,5.44,-0.04,54432.96,29687.941,0.7004,1.478,11.5681,-92.3077,5.2991
