date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2006-03-31,000001.SZ,6.3,6.47,6.26,6.37,0.0,103648.46,65720.4988,44.5075,,49.7468,,0.0
2006-03-31,000002.SZ,6.5,6.65,6.42,6.55,0.03,458105.45,300473.4905,1.3769,1.7206,19.0091,,1.0714
2006-03-31,000004.SZ,4.1,4.15,4.1,4.13,0.0,5159.92,2125.9417,,,,,0.0
2006-03-31,000005.SZ,1.74,1.79,1.73,1.78,0.03,31045.57,5453.9719,,,,,0.0
2006-03-31,000006.SZ,6.44,6.61,6.25,6.45,-0.05,29134.33,18662.6444,1.19,1.7658,13.2675,,1.1628
2006-03-31,000007.SZ,3.25,3.28,3.22,3.28,0.0,9394.84,3053.6573,7.2444,0.5466,,,0.0
2006-03-31,000008.SZ,4.33,4.33,4.23,4.25,-0.06,5938.44,2529.2942,0.0731,7.186,,,0.0
2006-03-31,000009.SZ,2.9,2.95,2.85,2.94,0.04,59962.4,17451.6255,1.9465,1.3413,,-70.1493,0.0
2006-03-31,000010.SZ,2.93,2.94,2.76,2.84,-0.08,23458.66,6623.0133,,,,,0.0
2006-03-31,000012.SZ,5.6,5.81,5.55,5.79,0.17,37815.29,21637.8192,1.084,0.5069,18.5819,,2.8785
2006-03-31,000014.SZ,6.14,6.32,6.11,6.29,0.11,14442.68,9022.5257,1.9067,2.1424,13.21,,0.4769
2006-03-31,000016.SZ,3.36,3.37,3.22,3.25,-0.14,48933.03,16026.998,1.4372,1.4164,16.4777,,0.0
2006-03-31,000017.SZ,2.2,2.25,2.2,2.21,0.0,6382.08,1416.6177,,,,,0.0
2006-03-31,000019.SZ,5.22,5.46,5.21,5.4,0.2,24125.24,12960.9498,0.7355,0.8385,177.3302,,0.0
2006-03-31,000020.SZ,3.0,3.0,2.87,2.96,-0.06,7741.0,2299.923,0.6117,0.8712,126.5658,,0.0
2006-03-31,000021.SZ,9.88,10.1,9.8,10.09,0.19,32131.56,32000.6645,0.4142,2.5264,23.3151,,5.4321
2006-03-31,000023.SZ,3.8,3.84,3.68,3.76,-0.05,9301.84,3494.3149,3.21,0.8497,33.7556,,0.0
2006-03-31,000025.SZ,2.95,2.98,2.91,2.94,-0.05,5754.84,1695.2476,2.2244,0.5826,114.0932,,0.0
2006-03-31,000026.SZ,4.56,4.58,4.45,4.55,-0.02,8282.71,3731.8327,0.2051,3.378,111.7509,,0.0
2006-03-31,000028.SZ,4.96,4.98,4.78,4.85,-0.04,14679.81,7115.177,3.9283,0.9873,39.0748,,0.0
2006-03-31,000029.SZ,3.8,3.88,3.71,3.84,0.03,56382.94,21481.1235,1.2958,1.6633,,,0.0
2006-03-31,000030.SZ,1.48,1.48,1.44,1.45,-0.03,6646.77,963.9369,,0.0143,,,0.0
2006-03-31,000031.SZ,7.73,8.18,7.61,8.18,0.45,52610.77,42119.5066,0.4856,0.6756,33.7333,,0.0
2006-03-31,000032.SZ,4.54,4.65,4.53,4.62,0.06,6772.18,3109.6444,0.9475,1.6211,51.5078,,1.7316
2006-03-31,000034.SZ,1.63,1.63,1.55,1.56,-0.07,11142.4,1758.2633,,0.6105,,,0.0
2006-03-31,000035.SZ,1.92,1.92,1.89,1.92,0.0,5830.6,1109.345,,0.0947,,,0.0
2006-03-31,000036.SZ,2.17,2.21,2.11,2.2,0.02,336072.68,72692.6558,2.7541,0.7717,725.0236,,0.9091
2006-03-31,000037.SZ,4.65,4.7,4.5,4.55,-0.1,11876.33,5411.5841,1.854,0.6064,23.5499,,2.3129
2006-03-31,000040.SZ,2.1,2.16,2.08,2.14,0.02,51022.95,10857.232,1.2531,1.0061,,,0.0
2006-03-31,000042.SZ,8.89,9.02,8.66,8.93,0.04,23127.8,20425.6818,1.2024,1.2278,12.2129,,1.9339
2006-03-31,000045.SZ,5.36,5.41,5.32,5.38,0.01,2824.5,1514.738,0.4903,1.1034,62.7806,,1.1152
2006-03-31,000048.SZ,1.98,2.02,1.94,2.0,0.01,18800.05,3714.2313,7.2226,0.5372,147.69,,0.0
2006-03-31,000049.SZ,5.85,5.92,5.75,5.92,0.06,13384.73,7771.3446,1.8722,1.1868,44.6644,,0.0
2006-03-31,000050.SZ,6.23,6.38,6.23,6.3,0.06,8185.14,5169.7029,0.7532,1.4778,19.7322,,5.7902
2006-03-31,000056.SZ,3.95,4.09,3.88,4.04,0.08,21378.47,8507.5648,2.5177,1.2032,,,0.0
2006-03-31,000058.SZ,3.02,3.06,3.0,3.03,0.0,8674.28,2620.7405,1.0279,0.792,,,0.0
2006-03-31,000059.SZ,3.96,4.0,3.92,3.97,-0.02,29699.29,11772.843,1.5334,0.5165,12.0761,,0.0
2006-03-31,000061.SZ,4.48,4.53,4.42,4.48,0.0,36887.63,16460.9896,1.3878,0.5886,125.0944,,1.1161
2006-03-31,000062.SZ,4.8,4.98,4.8,4.95,0.08,14935.21,7351.2154,0.7151,1.4547,53.2214,,4.2531
2006-03-31,000063.SZ,30.2,31.07,29.9,30.63,0.52,48036.0,146795.0448,1.0036,1.8437,26.1243,,0.3084
2006-03-31,000065.SZ,4.72,4.86,4.69,4.74,0.0,7902.26,3772.6992,1.5711,1.8301,32.3947,,1.2658
2006-03-31,000066.SZ,8.14,8.24,8.05,8.17,0.04,19852.36,16199.8573,0.5191,1.9221,8.65,,9.2881
2006-03-31,000068.SZ,3.63,3.68,3.56,3.65,0.02,37372.4,13554.1433,0.9663,0.7127,70.9053,,9.5704
2006-03-31,000069.SZ,11.92,11.92,11.31,11.56,-0.38,196400.22,227358.2711,0.9174,0.4972,26.7505,,0.0
2006-03-31,000070.SZ,3.4,3.47,3.38,3.43,0.01,10132.06,3453.9923,0.6299,1.9302,,,0.8746
2006-03-31,000088.SZ,6.62,6.62,6.48,6.5,-0.12,155308.57,101219.5797,0.0744,8.6718,11.8172,,10.0
2006-03-31,000089.SZ,6.76,6.82,6.64,6.78,0.02,64940.83,43521.087,0.195,2.4386,21.2183,,2.2124
2006-03-31,000090.SZ,5.18,5.32,5.15,5.24,0.02,17322.97,9065.7128,1.235,1.1054,26.3817,581.8182,0.3272
2006-03-31,000096.SZ,3.23,3.24,3.17,3.21,0.0,13609.96,4351.5732,0.2049,3.0795,19.2161,,4.2056
